%d Unread Messages;%d Mensagens não lidas
404, page not found;404, página não encontrada
APIs;APIs
Accounts;Contas
Action;Ação
Actions;Ações
Add;Adicionar
Add a;Adicionar um
"Add<br /><span class=""bold"">Pictures</span>";"Adicionar<br /><span class=""bold"">Imagens</span>"
"Add an <br /><span class=""bold"">image</span>";"Adicionar uma <br /><span class=""bold"">imagem</span>"
Address;Endereço
All items;Todos os Itens
An error occurred during process. Please try again later.;Ocorreu um erro durante o processo. Por favor, tente novamente mais tarde.
An error occurred during the process. Please try again later.;Ocorreu um erro durante o processo. Por favor, tente novamente mais tarde.
An error occurred while loading. Please try again later.;Ocorreu um erro ao carregar. Por favor, tente novamente mais tarde.
An error occurred while loading. Please, try again later.;Ocorreu um erro ao carregar. Por favor, tente novamente mais tarde.
An error occurred while saving;Ocorreu um erro ao salvar
An error occurred while saving your account. Please try again later.;Ocorreu um erro ao salvar a sua conta. Por favor, tente novamente mais tarde.
An error occurred while saving your picture. Please try againg later.;Ocorreu um erro ao salvar a sua imagem. Por favor, tente novamente mais tarde.
An error occurred while saving. Please try again later.;Ocorreu um erro ao salvar. Por favor, tente novamente mais tarde.
An error occurred while saving. Please, try again later.;Ocorreu um erro ao salvar. Por favor, tente novamente mais tarde.
An error occurred while uploading your file. Please, try again later.;Ocorreu um erro durante o upload do seu arquivo. Por favor, tente novamente mais tarde.
Appearance;Aparência
Application;Aplicativo
Application Name;Nome Aplicativo
Applications;Aplicativos
Are you sure you want to delete this element?;Tem certeza de que deseja excluir este elemento?
Are you sure you want to remove this account?;Are you sure you want to remove this account?
Authentication failed. Please check your email and/or your password;Falha na autenticação. Por favor, verifique seu e-mail e/ou sua senha
Back;Voltar
Browse;Procurar
Can only be used once;Pode ser usado apenas uma vez
Cancel;Cancelar
Cart;Carrinho
Catalog;Catálogo
Category;Categoria
Change password;Alterar senha
City;Cidade
City:;Cidade:
Close;Fechar
close;fechar
Comment;Comentário
Comments;Comentários
Communication;Comunicação
Company;Empresa
Coms;Coms
Conditions;Condições
Confirm Password;Confirmar senha
Confirm new password;Confirmar nova senha
Country;País
Country:;País:
Create;Criar
Create a new account;Criar uma nova conta
Created at;Criado em
Created at:;Criado em:
Currency;Moeda
Current password;Senha atual
Dashboard;Painel de Controle
Date;Data
day;dia
days;dias
Default Languages;Idiomas padrões
Delete;Deletar
Description;Descrição
Description:;Descrição:
Details;Detalhes
Edit;Editar
Editing;Edição
Email;E-mail
Email address;Endereço de e-mail
Email:;E-mail:
End at;Terminar em
Error : <br/>;Erro : <br/>
Errors : <br/>;Erros : <br/>
Export your customers;Exportar seus clientes
Extension not allowed, '%s' only;Extensão não permitida, '%s' somente
Facebook;Facebook
Firstname;Nome
Firstname:;Nome:
Forgot your password ?;Esqueceu sua senha ?
Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.;Esqueceu sua senha? Não se preocupe! Basta digitar o seu endereço de e-mail e nós lhe enviaremos uma senha nova.
General;Geral
Hello,;Olá,
Here is your new password:;Aqui está a sua nova senha:
hour;hora
