" ""Remove this page from this folder?""";"Enlever cette page de ce dossier?"
"1. Download the app previewer:";"1. Téléchargez l'application previewer:"
"2. Open the app and login";"2. Ouvrez l'application et identifiez-vous"
"<b>File type:</b> %s";"<b>Type de fichier:</b> %s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Cliquez</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>pour ajouter un élément.</span>"
"Add a new icon";"Ajouter une nouvelle icône"
"Add pages";"Ajouter page"
"Additional options";"Options supplémentaires"
"An error occurred during the generation of your QRCode. Please try again later.";"Une erreur est survenue lors de la génération de votre QRCode. Merci de réessayer plus tard."
"An error occurred while adding the option";"Une erreur est survenue lors de l'ajout de l'option"
"An error occurred while changing your layout.";"Une erreur est survenue lors du changement de votre mise en page."
"An error occurred while deleting the option";"Une erreur est survenue lors de la suppression de l'option"
"An error occurred while deleting your picture";"Une erreur est survenue lors de la suppression de votre image"
"An error occurred while editing file (%s).";"Une erreur s'est produite lors de l'édition fichier (%s)."
"An error occurred while loading";"Ouups.. Une erreur est survenue pendant le chargement"
"An error occurred while saving the application. Please try again later.";"Une erreur s'est produite lors de l'enregistrement de la demande. Merci de réessayer plus tard."
"An error occurred while saving your colors.";"Une erreur est survenue lors de l'enregistrement de vos couleurs."
"An error occurred while saving your page name.";"Une erreur est survenue lors de l'enregistrement du nom de la page."
"An error occurred while saving. The selected icon is not valid.";"Une erreur est survenue lors de l'enregistrement. L'icône sélectionnée est pas valide."
"An error occurred while sorting your pages. Please try again later.";"Une erreur est survenue lors du tri de vos pages. Merci de réessayer plus tard."
"Analytics";"Stats"
"Android APK Generation";"Android APK Generation"
"Android Version";"Version Android"
"App Store Icon";"App Store Icon"
"Apple's Information";"Publication sur l'App Store"
"Application name";"Nom application"
"Are you sure you want to remove this application?";"Êtes-vous sûr de vouloir supprimer cette application?"
"At least 200 characters in the description";"Ecrivez au moins 200 caractères dans la description"
"At least, 4 pages in the application";"Créer au minimum, 4 pages dans votre application."
"At least, 4 pages in your application";"Au moins, 4 pages dans votre application"
"Audio";"Audio"
"Average by customer";"Moyenne par client"
"Background";"Fond d'écran"
"Book";"Livre"
"Bundle Id";"Bundle Id"
"Business";"Business"
"Button";"Bouton"
"Buy one, get one!";"Texte Offre"
"Catalogs";"Catalogues"
"Change your";"Modifiez votre"
"Change your template";"Changez votre modèle"
"Change your<br /><span>picture</span>";"Changez votre<br /><span>photo</span>"
"Checking CNAME configuration:";"Vérification de la configuration CNAME:"
"Choose a <br /><span class=""bold"">picture</span>";"Choisir une<br /> <span class=""bold""> image </span >"
"Choose a country";"Sélectionnez un pays"
"Choose a font family";"Choisissez une famille de polices"
"Choose a template to customize";"Choisissez un modèle à personnaliser"
"Choose an";"Choisissez une"
"Choose your colors";"Choisissez vos couleurs"
"Choose your country";"Choisissez votre pays"
"Choose your design";"Choisissez votre design"
"Choose your font style";"Choisissez votre style de police"
"Choose your homepage image";"Choisissez votre image de la page d'accueil"
"Choose your icons color";"Choisissez la couleur de l'icône"
"Choose your layout";"Choisissez votre mise en page"
"Choose your template";"Choisissez votre modèle"
"Click here to download the source code:";"Cliquez ici pour télécharger le code source:"
"Click here to send your certificate";"Cliquez ici pour envoyer votre certificat"
"Colors";"Couleurs"
"Comment";"Commentaire"
"Comments";"Commentaires"
"Connect Button";"Bouton de connexion"
"Create a new user";"Créer un nouvel utilisateur"
"Created at";"Crée le"
"Customize your app's colors";"Personnalisez les couleurs de votre application"
"Customize your app's style";"Personnaliser le style de votre application"
"Dashboard";"Dashboard"
"Dashboard icon";"Icône"
"Delete this page?";"Supprimer cette page ?"
"Design";"Design"
"Developer Accounts";"Comptes de développeurs"
"Discount Zone";"Fond zone offre"
"Discount zone description. Here your clients will be able to see the details of each discount";"Cette page est une page exemple qui vous permet d'effectuer des essais de couleurs."
"Domain";"Domaine"
"Domain name";"Nom de domaine"
"Download";"Télécharger"
"Edit my";"Editer mon"
"Editor";"Editeur"
"Education";"Education"
"Entertainment";"Divertissement"
"Features";"Fonctions"
"Finance";"Finance"
"Food & Drink";"Nourriture & Boisson"
"Fred W.";"Lionel S."
"Games";"Jeux"
"General Information";"Informations Générales"
"General information";"Information générales"
"Global visits";"Nombre de visites"
"Google Play Icon";"Google Play Icon"
"Google's Information";"Publication sur Google Play Store"
"Header";"Fond en-tête"
"Health & Fitness";"Santé"
"Here is our latest creation. What do you think?";"Voici notre dernière création. Que pensez-vous?"
"Homepage preview";"Aperçu page d'accueil"
"I don't have a Google developer account and I want to create one";"Je ne possède pas de compte Google développeur et je veux créer un"
"I don't have an Apple developer account and I want to create one";"Je ne possède pas de compte de développeur Apple et je veux créer un"
"I have an Apple developer account";"Je possède un compte de développeur d'Apple"
"I have an Google developer account";"Je possède un compte de développeur Google"
"I let you publish my application under your Apple developer account";"Je vous laisse publier mon application avec votre compte de developpeur Apple"
"I let you publish my application under your Google developer account";"Je vous laisse publier mon application avec votre compte de developpeur Google"
"Icones";"Icônes"
"Icons";"Icones"
"If you validate, your app's colors and background image will be replaced";"Si vous validez, les couleurs de votre application et de l'image d'arrière-plan seront remplacés"
"In order to publish your application";"Afin de publier votre application"
"In order to publish your application,";"Afin de publier votre application"
"In order to publish your application, we need";"Afin de publier votre application, vous devez :"
"Information";"Information"
"Installed application";"Applications installés"
"Key Password";"Clé Mot de passe"
"Keywords";"Mots-clés"
"Last name";"Nom de famille"
"Library icons";"Librairie d'icônes"
"Lifestyle";"Style de vie"
"List of my applications";"Liste de mes applications"
"List of your applications";"Liste de vos applications"
"Load More";"En charger plus"
"Loading";"Chargement"
"Lock the entire application";"Verrouiller l'application entière"
"Log-out";"Se déconnecter"
"Love it <3";"J'aime, <3"
"Main";"Principal"
"Main category";"Catégorie principale"
"Manage";"Gérer"
"Manage your app's features";"Gérer les fonctionnalités de votre application"
"Marc A.";"Marc A."
"Medical";"Santé"
"Mobile Source Codes";"Codes Source mobiles"
"Mobile source codes";"Codes sources mobiles"
"Mobile website information";"Information du site Web mobile"
"More infos";"Plus d'infos"
"My Applications";"Mes applications"
"My QRCode";"Mon Qrcode"
"My application in figures";"Mes statistiques"
"My application's users";"Utilisateurs de l'application"
"My invoices";"Mes factures"
"Navigation";"Navigation"
"News";"Texte en-tête"
"One free coffee";"Texte sous-en-tête"
"Optional";"Optionnelle"
"Or go on your store<br />and look for ""Apps Company Previewer""";"Ou rendez-vous sur votre store <br /> et cherchez ""Apps Company Previewer"""
"Percentage of returning customers";"Pourcentage de clients fidèles"
"Photo & Video";"Photo et Vidéo"
"Please enter a correct URL for the %s store";"Merci d'entrer une URL correcte pour le magasin %s"
"Please enter a subdomain.";"Merci d'entrer un sous-domaine."
"Please enter a valid URL";"Merci d'entrer une URL valide"
"Please enter a valid address";"Merci d'entrer une adresse valide"
"Please enter a valid mobile website address.";"Merci d'entrer une adresse de site Web mobile valide."
"Please log in.";"Bouton de connexion"
"Preview";"Preview"
"Privacy Policy";"Politique de confidentialité"
"Productivity";"Productivité"
"Promote";"Promouvoir"
"Promote your app!";"Promotion de votre application!"
"Publication";"Publication"
"Publish my app !";"Publier mon application!"
"Publish the application";"Publiez l'application"
