"An error occurred while saving your discount. Please fill in all fields";"Произошла ошибка при сохранении скидки. Пожалуйста, заполните все поля."
"Are you sure you want to use this discount?";"Вы уверены в использовании этой скидки?"
"Closed discounts";"Использованные скидки"
"Create a new discount";"Создайте новую скидку"
"Delete this discount?";"Удалить эту скидку?"
"Discount successfully deleted";"Скидка успешно удалена"
"Discount successfully saved";"Скидка успешно сохранена"
"Please select an end date greater than the current date.";"Пожалуйста, выберите дату окончания по сравнению с текущей датой."
"This discount is now used";"Эта скидка в настоящее время используется"
"Valid until";"Действует до"
"You have already use this discount";"Вы уже используете эту скидку"
"You must be logged in to use a discount";"Вы должны войти в систему, чтобы воспользоваться скидкой"
"or illimited";"или отмена ограничения"
"use only once";"использовать только один раз"
"you'll be able to remove this promotion later";"Вы сможете удалить эту акцию позже"
