" is now yours!";"Şimdi sizin!"
"%d validated points = ";"%d onaylı puanlar =  "
"1 loyalty point =";"1 bağlılık puanı ="
"1 point";"1 puan"
"1 validated point = ";"1 onaylı puan = "
"An error occurred while saving the password. Please try again later";"Parolanızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz"
"An error occurred while saving the password. Please try again later.";"Parolanızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your loyalty card.";"Bağlılık kartı kaydedilirken bir hata oluştu."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Bağlılık kartı kaydedilirken bir hata oluştu.Tüm alanları doldurunuz."
"An error occurred while validating point. Please try again later.";"Puanlarınız doğrulanırken bir hata oluştu. Daha sonra tekrar deneyiniz."
"Card name";"Kart ismi"
"Congratulations";"Tebrikler"
"Current card";"Güncel kart"
"Delete this password?";"Bu şifre silinsin mi?"
"Employee's name";"Çalışanın ismi:"
"Employee's name:";"Çalışanın ismi"
"Employee's password";"Çalışanın şifresi"
"Employee's password:";"Çalışanın şifresi:"
"Enter the password";"Şifre girin"
"My new loyalty card";"Yeni bağlılık kartım"
"My passwords";"Yeni şifrem"
"Number of points";"Puan Sayısı"
"Please enter a name";"Bir isim girin"
"Please enter the password";"Şifre girin"
"Please show your phone to the store person so that he enters his password";"Lütfen telefonunuzu mağza çalışanına gösterin ki şifresini girebilsin"
"Point%s successfully validated";"%s puan başarıyla doğrulandı"
"Previous cards";"Önceki kartlar"
"Reward";"Ödül"
"We are sorry but this card is temporarily blocked";"Üzgünüz ama bu kart geçici olarak bloke edilmiştir"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Dikkat edin yanlış şifre girdiniz deneme sayınız %d kartınızı kitlemeden önce kalan deneme sayınız %s puanlarınızı doğrulatmak için mağza çalışanıyla konuşunuz."
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Yanlış şifre.<br />Dikkat edin! %d kez denediniz %s kartınızı kitlemeden önce kalan deneme sayınız %s.<br /> puanlarınızı doğrulatmak için mağza çalışanıyla konuşunuz"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Puanlarınızı doğrulamak için deneme sayısını aştınız. Kartınız 24 saat kilitli"
"You just finished your card";"Kartınızı bitirdiniz"
"You must be logged in to validate points";"Puanları doğrulamak için giriş yapmalısınız"
"Your loyalty card has been saved successfully";"Bağlılık kartınız başarıyla kaydedildi"
"Your password must be 4 digits";"Şifreniz 4 basamaklı olmalı"
"point";"puan"
"point to validate";"dogrulama puanı"
"points to validate";"doğrulam puanları"
"validated points = ";"geçerli puanlar="
