"%s Update";"%s Güncelleme"
"All of your modules are up to date";"Tüm modülleriniz güncel"
"Click here to send your module";"Burayı tıklayarak modülü gönderin"
"Drop your module here";"Modülünüzü buraya sürükleyin"
Host;Host
Installing;Yükleniyor
"Installing module <em><span id=""label_module""></span></em>";"Yükleme modülü <em><span id=""label_module""></span></em>"
"Installing your module";"Modülünüz yükleniyor"
"Module successfully installed";"Modül başarıyla yüklendi"
"Module to upload";"Yüklenecek modül"
"Modules Installation";"Modüller yüklemesi"
"Modules successfully installed!";"Modüller başarıyla yüklendi"
"No directory provided";"Dizin sağlanmamış"
"No module to install";"Yüklemek için modül yok"
"No modules uploaded yet";"Henüz hiç bir modül yüklenmemiş "
"Or set the correct permissions to the following files and folders and try again:";"Ya da aşağıdaki dosyalar ve klasörler için doğru izinlerini ayarlayarak yeniden deneyin:"
"Package Details";"Paket detayları"
"Path to your system";"Sisteminizin yolu"
"Please update the module to the %s version before installing this update.";"Bu güncelleştirmeyi yüklemeden önce%s sürümüne modülü güncelleyin."
"Please update your system to the %s version before installing this update.";"Bu güncelleştirmeyi yüklemeden önce%s sürümüne sisteminizi güncelleyin."
"Please wait, we're installing your module";"Lütfen bekleyin modülünüzü yüklüyoruz"
"Please, enter a name";"Lütfen bir isim girin"
"Please, fill out all fields";"Lütfen tüm alanları doldurunuz"
Port;Port
"Processing the installation";"Kurulum işliyor"
Retry;Yenileyin
"Select a module to upload";"Yüklemek için bir modül seçin"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Bazı dosya ve klasör yazılabilir değil. Bu güncelleştirmeyi yüklemek için FTP erişimide sağlayabilirsiniz:"
"Some files don't have the right permissions and can't be updated";"Bazı dosyalar doğru izinlere sahip değil ve güncellenemedi"
"The database connection failed. Please, check the entered information.";"Veritabanı bağlantısı başarısız oldu.Girdiğiniz bilgileri kontrol edin."
"The entered password confirmation does not match the entered password.";"Şifreler eşleşmiyor."
"The file %s does not exist";"Alan %s mevcut değil"
"The file %s is not writable.";"%s dosyası yazılabilir değil."
"The folder %s is not writable. Please fix this issue and try again.";"Klasör%s yazılabilir değil. Bu sorunu giderin ve yeniden deneyin."
"The following files and folders are not writable:";"Aşağıdaki dosyalar ve klasörler yazılabilir değildir:"
"The following files and folders are not writable: <br /> - %s";"Aşağıdaki dosyalar yazılabilir değil: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Modül yükleme <span id=""installation_failed_module_name""></span> reddedildi: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Yüklediğiniz paket geçersiz."
"This process may take few minutes, please do not refresh the page";"Bu süreç birkaç dakika sürebilir bu süreçte sayfayı yenilemeyin."
"This update is designed for the %s, you can't install it in your %s.";"Bu güncelleme%s için tasarlanmış,%s nizin üstüne kuramazsınız."
"Unable to connect to your FTP. Please check the connection information.";"FTP bağlantı kurulamıyor. Bağlantı bilgilerini kontrol edin."
"Unable to detect your site. Please make sure the entered path is correct.";"Sitenizi algılayamadı. Girilen yolun doğru olduğundan emin olun."
"Unable to extract the archive.";"Arşiv dişa aktarılamıyor."
"Unable to open the archive.";"Arşiv açılamıyor."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Dosya açılamıyor.Geçerli bir arşiv gönderildiğinden emin olun."
"Upload a module";"Bir modül yükleyin"
"Upload your modules";"Modüllerinizi yükleyin "
Username;Kullanıcıadı
"You already have installed this update.";"Zaten bu güncelleştirmeyi yüklediniz. "
"You can either fix this issue by setting the correct permissions to them and try again or enter your FTP access below:";"Onlara doğru izinleri ayarlayarak bu sorunu giderebilirsiniz ve tekrar deneyin ya da FTP erişimini deneyiniz:"
