" ""Remove this page from this folder?""";"Diese Seite aus diesem Ordner entfernen?"
"1. Download the app previewer:";"1. Laden Sie die app-Vorschau:"
"2. Open the app and login";"2. Öffnen Sie die app und Anmeldung"
"<b>File type:</b> %s";"<b>Typ:</b> %s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Klicken Sie auf</span><button class=""add"" type=""button""> <i class=""icon-plus""></i></button> <span>, ein Element hinzuzufügen.</span>"
Activated;Aktiviert
"Add a new icon";"Fügen Sie ein neues Symbol"
"Add pages";"Seiten hinzufügen"
"Additional options";"Zusätzliche Optionen"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Fehler beim Kopieren Ihre app-Symbol. Bitte überprüfen Sie das Symbol, senden Sie es erneut, und versuchen Sie es erneut versuchen."
"An error occurred during the generation of your QRCode. Please try again later.";"Bei der Erzeugung des QRCode ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal.                                                           "
"An error occurred while adding the option";"Beim Hinzufügen der Option ist ein Fehler aufgetreten"
"An error occurred while changing your layout.";"Beim wechseln Ihres Layouts ist ein Fehler aufgetreten."
"An error occurred while deleting the option";"Beim Löschen der Option ist ein Fehler aufgetreten"
"An error occurred while deleting your picture";"Beim Löschen Ihres Bildes ist ein Fehler aufgetreten"
"An error occurred while editing file (%s).";"Fehler beim Bearbeiten der Datei (%s)."
"An error occurred while loading";"Fehler beim Laden"
"An error occurred while saving the application. Please try again later.";"Fehler beim Speichern der Anwendung. Bitte versuchen Sie es später erneut."
"An error occurred while saving your colors.";"Beim Speichern der Farben ist ein Fehler aufgetreten."
"An error occurred while saving your page name.";"Beim Speichern des Seitennamens ist ein Fehler aufgetreten."
"An error occurred while saving. The selected icon is not valid.";"Beim Speichern ist ein Fehler aufgetreten. Das gewählte Symbol ist nicht gültig."
"An error occurred while sorting your pages. Please try again later.";"Beim Sortieren Ihrer Seiten ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
Analytics;Analytics
"Android APK Generation";"Android APK-Generation"
"Android Version";"Android-Version "
"App Store Icon";"App Store-Symbol"
"Apple's Information";Apples-Informationen
"Application name";"Name der Anwendung"
"Are you sure you want to remove this application?";"Bist du sicher, dass Sie diese Anwendung entfernen möchten?"
"At least 200 characters in the description";"Mindestens 200 Zeichen in der Beschreibung"
"At least, 4 pages in the application";"Zumindest Seiten 4, in der Anwendung"
"At least, 4 pages in your application";"Zumindest, 4 Seiten in Ihrer Anwendung"
Audio;Audio
"Average by customer";"Durchschnittliche vom Kunden"
Book;Buch
"Bundle Id";"Bündel Id"
Business;Geschäft
"Buy one, get one!";"Zwei zum Preis von einem!"
Catalogs;Kataloge
Certificate;Zertifikat
"Change your";"aktualisieren Sie Ihre"
"Change your template";"Ändern Sie Ihre Vorlage"
"Change your<br /><span>picture</span>";"Änderung Ihrer < Br / > <span>Bild</span>"
"Checking CNAME configuration:";"CNAME-Konfiguration überprüfen:"
"Choose a <br /><span class=""bold"">picture</span>";"Wählen Sie einen <br /> <span class=""bold""> Bild </span>"
"Choose a country";"Wählen Sie ein Land"
"Choose a font family";"Wählen Sie eine Schriftfamilie"
"Choose a template to customize";"Wählen Sie eine Vorlage anpassen"
"Choose an";"Wählen Sie ein"
"Choose your colors";"Wählen Sie Ihre Farben"
"Choose your country";"Wählen Sie Ihr Land"
"Choose your design";"Design auswählen"
"Choose your font style";"Wählen Sie Ihren Schriftstil"
"Choose your homepage image";"Wählen Sie Ihr Bild"
"Choose your icons color";"Wählen Sie Ihre Farbe Icons."
"Choose your layout";"Wählen Sie Ihr Layout"
"Choose your template";"Wählen Sie Ihre Vorlage"
"Click here to download the source code:";"Klicken Sie hier, um den Quellcode herunterladen: "
"Click here to send your certificate";"Klicken Sie hier, um Ihr Zertifikat senden"
