"Add a page";"Aggiungi pagina"
"Click on";"Clucca su"
"Click on a page to add it to the folder";"Clicca sulla pagina per aggiungerla alla cartella"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Clicca sulla pagina per aggiungerla alla cartella <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Close mobile display";"Chiudi il display mobile"
"Delete this folder and all its subfolders?";"Eliminare questa cartella e tutte le relative sottocartelle?"
"Folder title is required";"Il titolo della cartella è obbligatorio"
"Folders";"Cartelle"
"Mobile display";"Display mobile"
"New folder";"Nuova cartella"
"Subtitle";"Sottotitolo"
"You cannot add this feature";"Non puoi aggiungere questa funzione"
"You must first complete the current category creation process";"È necessario prima completare l'attuale processo di creazione categoria"
"You will lose all unsaved changes, continue?";"Perderai tutte le modifiche non salvate, continuare?"
"to add a folder.";"per aggiungere una cartella."
