"%s - All";"%s -Tutte"
"Add a category";"Aggiungi una categoria"
"Add a format";"Aggiungi un format"
"All";"Tutti"
"An error occurred while loading your product.";"Si è verificato un errore durante il caricamento del prodotto."
"An error occurred while saving the category. Please try again later.";"Si è verificato un errore durante il salvataggio della categoria. Si prega di riprovare più tardi."
"An error occurred while saving the product. Please try again later.";"Si è verificato un errore durante il salvataggio del prodotto. Si prega di riprovare più tardi."
"An error occurred while saving the set meal. Please try again later.";"Si è verificato un errore durante il salvataggio della funzione prodotto. Si prega di riprovare più tardi."
"An error occurred while saving. One of your categories could not be identified.";"Si è verificato un errore durante il salvataggio. Una delle categorie non è stato identificata."
"An error occurred while saving. One of your products could not be identified.";"Si è verificato un errore durante il salvataggio. Uno dei prodotti non è stato identificato."
"Are you sure you want to delete this category and all its subcategories?";"Sei sicuro di voler cancellare questa categoria e tutte le sue sottocategorie?"
"Are you sure you want to delete this category?";"Sei sicuro di voler cancellare questa categoria?"
"Are you sure you want to delete this product?";"Sei sicuro di voler eliminare questo prodotto?"
"Category";"Categoria"
"Choose a category";"Scegli una categoria"
"Choose a subcategory";"Scegli una sottocategoria"
"Click on a category to display sub-categories";"Clicca su categoria per visualizzare le sotto categorie"
"Create a new product";"Crea un nuovo prodotto"
"Does this product have many formats?";"Questo prodotto ha molti formati?"
"Edit the";"Modifica"
"Edit the product";"Modifica prodotto"
"Format";"Formato"
"Picture";"Immagine"
"Price";"Prezzo"
"Prices";"Prezzi"
"Product";"Prodotto"
"Product formats";"Formati del prodotto"
"Product name";"Nome prodotto"
"Rules";"Regole"
"Set meal successfully deleted.";"Funzione prodotto cancelata correttamente"
"Set meal successfully saved.";"Funzione prodotto salvata correttamente"
"Sub-category";"Sotto categoria"
"st";"via"
"sub-category";"Sotto categoria"
