"Additionnal Information";"附加信息"
"And a radius (in Km):";"及周边地区（公里数） ："
"Android";"安卓"
"Creation date";"创建日期"
"Enter a location:";"输入位置："
"GCM Key";"关键GCM"
"I want to send it";"我想送"
"Keys successfully saved";"保存成功关键"
"Message";"信息"
"Message:";"消息："
"Pending";"坡"
"Push Notifications";"推送通知"
"Push Notifications Settings";"推送通知设置"
"Radius";"无线电"
"Send to a specific location";"发送到特定的位置"
"Send to all my users";"发送给我的所有用户"
"Sender ID";"ID交货"
"Sending date";"送货日期"
"The duration limit must be higher than the sent date";"时间限制必须大于出货日期"
"Your app must be published to send a push notification.";"必须将应用程序发布到发送推送通知。"
"Your message has been saved successfully and will be sent at the entered date";"您的留言已成功保存，输入的日期将被发送"
"Your message has been saved successfully and will be sent in a few minutes";"您的留言已成功保存，并在几分钟内将被发送"
"and users entering the area";"和在该地区的用户"
"for a limited period";"在有限的时间"
"now";"现在"
"on a specific date";"在特定日期"
