"%s / Month";"%s / Mese"
"%s / Year";"%s / Anno"
"%s Image";"%s immagine"
"%s Images";"%s Immagini"
"%s ago";"%s fa"
"404, page not found";"404, pagina non trovata"
"APIs";"APIs"
"Access Management";"Accesso amministrazione"
"Account";"Account"
"Accounts";"Accounts"
"Actions";"Azioni"
"Add";"Aggiungi"
"Add a";"Aggiungi un"
"Add a page";"Aggiungi una pagina"
"Add a picture";"Aggiungi un'immagine"
"Add image";"Aggiungi immagine"
"Address";"Indirizzo"
"All items";"Tutti gli articoli"
"An error occurred during process. Please try again later.";"Si è verificato un errore. Si prega di riprovare più tardi."
"An error occurred during the process. Please try again later.";"Si è verificato un errore. Si prega di riprovare più tardi."
"An error occurred while loading places.";"Si è verificato un errore durante il caricamento della posizione."
"An error occurred while loading. Please try again later.";"Si è verificato un errore durante il caricamento. Si prega di riprovare più tardi."
"An error occurred while loading. Please, try again later.";"Si è verificato un errore durante il caricamento. Si prega di riprovare più tardi."
"An error occurred while processing your payment.";"Si è verificato un errore durante il processo di pagamento."
"An error occurred while saving";"Si è verificato un errore durante il salvataggio"
"An error occurred while saving your account. Please try again later.";"Si è verificato un errore durante il salvataggio dell'account. Si prega di riprovare più tardi."
"An error occurred while saving your picture. Please try again later.";"Si è verificato un errore durante il salvataggio dell'immagine. Riprova più tardi."
"An error occurred while saving your picture. Please try againg later.";"Si è verificato un errore durante il salvataggio dell'immagine. Si prega di riprovare più tardi."
"An error occurred while saving. Please try again later.";"Si è verificato un errore durante il salvataggio. Si prega di riprovare più tardi."
"An error occurred while saving. Please, try again later.";"Si è verificato un errore durante il salvataggio. Si prega di riprovare più tardi."
"An error occurred while uploading your file. Please, try again later.";"Si è verificato un errore durante il caricamento del file. Per favore, riprovare più tardi."
"An unexpected error occurred while calculating the route.";"Si è verificato un errore imprevisto durante il calcolo del percorso."
"Appearance";"Aspetto"
"Application";"Applicazione"
"Application Name";"Nome applicazione"
"Applications";"Applicazioni"
"Are you sure you want to delete this admin?";"Sei sicuro di voler eliminare questo admin?"
"Are you sure you want to delete this element?";"Sei sicuro di voler eliminare questo elemento?"
"Are you sure you want to remove this account?";"Sei sicuro di voler rimuovere questo account?"
"Audio";"Audio"
"Authentication failed. Please check your email and/or your password";"Autenticazione fallita. Controlla la tua email e/o la password"
"Authentication failed. Please, check the username and/or the password";"Autenticazione fallita. controlla l'username e/o la password"
"Back";"Indietro"
"Background";"Sfondo"
"Booking";"Prenotazione"
"Browse";"Browse"
"Calendar";"Calendario"
"Can only be used once";"Può essere utilizzato una sola volta"
"Cancel";"Cancella"
"Careful, someone else is working on this application.";"Attento, qualcun altro sta lavorando su questa applicazione."
"Cart";"Carrello"
"Catalog";"Catalogo"
"Change password";"Cambia password"
"City";"Città"
"City:";"Città:"
"Close";"Chiudi"
"Comment";"Commento"
"Comments";"Commenti"
"Commerce";"Commercio"
"Communication";"Comunicazione"
"Company";"Azienda"
"Coms";"Coms"
"Conditions";"Condizioni"
"Confirm";"Conferma"
"Confirm Password";"Conferma password"
"Confirm new password";"Conferma la nuova password"
"Contact";"Contatto"
"Contact successfully added to your address book";"Contatto aggiunto con successo alla tua rubrica"
"Contact us";"Contattaci"
"Contest";"Concorso"
"Country";"Paese"
"Create";"Crea"
"Create a new account";"Crea un nuovo account"
"Create an account";"Crea un account"
"Created at";"Creato a"
"Created at:";"Creato a:"
"Currency";"Valuta"
"Current password";"Password attuale"
"Custom Page";"Pagina personalizzata"
"Dashboard";"Dashboard"
"Data saved successfully.";"Data salvata correttamente"
"Date";"Data"
"Date of birth";"Data di nascita"
"Date of birth:";"Data di nascita:"
"Default Languages";"Linguaggio predefinito"
"Delete";"Cancella"
"Description";"Descrizione"
"Description:";"Descrizione:"
"Details";"Dettagli"
"Discount";"Coupon"
"Do you want to download all the contents now to access it when offline? If you do, we recommend you to use a WiFi connection.";"Vuoi scaricare tutti i contenuti ora per accedervi in modalità offline ? Se lo fai, si consiglia di utilizzare una connessione WiFi"
"Don't close the app while downloading. This may take a while.";"Non chiudere l'applicazione durante il download . Questo potrebbe richiedere alcuni minuti"
"Edit";"Modifica"
"Editing";"Redazione"
"Email";"Email"
"Email address";"Indirizzo email"
"Email:";"Email:"
"End at";"finito a"
"Error : <br/>";"Errore : <br/>"
"Errors : <br/>";"Errori : <br/>"
"Export your customers";"Esporta i tuoi clienti"
"Extension not allowed, '%s' only";"Estensione non consentita, solo '%s'"
"Facebook";"Facebook"
"Fan Wall";"Bacheca"
"Features";"Funzioni"
"First name / Last name";"Nome/Cognome"
"Firstname";"Nome"
"Firstname:";"Nome:"
"Folder";"Cartella"
"Forgot your password ?";"Dimenticato la password?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Hai dimenticato la password? Non ti preoccupare! Basta inserire il tuo indirizzo email e ti ne invieremo una nuova immediatamente"
"Form";"Campo"
"From:";"Da:"
"General";"Generale"
