"%s - All";"％s - 所有"
"Add a category";"添加类别"
"Add a format";"添加格式"
"All";"所有"
"An error occurred while loading your product.";"有一个错误装载的产品。"
"An error occurred while saving the category. Please try again later.";"有一个错误保存类别。请稍后再试。"
"An error occurred while saving the product. Please try again later.";"有一个错误保存产品。请稍后再试。"
"An error occurred while saving the set meal. Please try again later.";"有一个错误保存餐券。请稍后再试。"
"An error occurred while saving. One of your categories could not be identified.";"有一个错误的节省。它的一个类别不能被识别。"
"An error occurred while saving. One of your products could not be identified.";"有一个错误的节省。一个它的产品不能被识别。"
"Are you sure you want to delete this product?";"你确定你要删除这个项目吗？"
"Category";"类别"
"Choose a category";"选择一个类别"
"Choose a subcategory";"选择一个子类别"
"Click on a category to display sub-categories";"单击类别以显示子"
"Create a new product";"创建一个新的产品"
"Does this product have many formats?";"该产品是否有很多的格式？"
"Edit the";"编辑"
"Edit the product";"编辑产品"
"Format";"格式"
"Picture";"图像"
"Price";"价格"
"Product";"产品"
"Product formats";"产品格式"
"Product name";"产品名称"
"Rules";"规则"
"Set meal successfully deleted.";"食品券成功删除。"
"Set meal successfully saved.";"券成功保存顿饭。"
"Sub-category";"子目录"
"st";"ST"
"sub-category";"子类别"
