.mp4 or .3gp format;.mp4 or .3gp format
Add ;Ekle
Add sections:;Bölümler ekleyin:
Address:;Adres:
Alignment:;Hizalama:
An error occurred while saving your page.;Sayfanız kaydedilirken bir hata oluştu.
Are you sure you want to delete this page?;Bu sayfayı silmek istediğinizden eminmisiniz?
Display address;Adresi göster
Display location button;Lokasyon gösterme düğmesi
Label;Etiket
Label:;Etiket:
Large;Geniş
Loading picture:;Resim yükle:
Make a search or enter the Youtube Url:;Youtube Url girin:
Medium;Orta
My Youtube video:;Youtube videolarım:
My video;Videom
No videos matching your selection;Seçiminizi eşleşen video yok
Page successfully deleted;Sayfa başarıyla silindi
Page successfully saved;Sayfa başarıyla kaydedildi
Podcast URL:;Podcast URL:
Select a button type:;Bir puton türü seçin:
Select a video type:;Bir video çeşidi seçin:
Small;Küçük
Video URL:;Video URL:
Your Podcast:;Podcast ınız:
