"An error occurred while saving your contact informations.";"Une erreur est survenue lors de la sauvegarde de vos données de contact."
"An error occurred while sending your request. Please try again later.";"Une erreur est survenue lors de l'envoi de votre demande. Merci de réessayer ultérieurement."
"And his phone number:";"Et son numéro de téléphone :"
"Are you sure you want to remove the picture?";"tes-vous sûr de vouloir supprimer l'image ?"
City;Ville
"Contact information";Coordonnées
"Contact informations";"Informations de contact"
"Here is his email:";"Voici son email :"
"Here is his message:";"Voici son message :"
"Please enter properly the following fields: <br />";"Veuillez renseigner correctement les champs suivants : <br />"
Twitter;Twitter
Website;"Site web"
"You have received a message from a contact:";"Vous avez reçu un message d'un contact :"
"Your email";"Votre email"
"Your message has been sent";"Votre message a été envoyé"
"Your request";"Votre demande"
"Zip code";"Code postal"
