"Create a new language";"Δημιουργία νέας γλώσσας"
"Default text";"Προεπιλεγμένο κείμενο"
"Edit the language: %s";"Επεξεργασία γλώσσας: %s"
Language;Γλώσσα
"Language successfully saved";"Η γλώσσα αποθηκεύτηκε επιτυχώς"
"List of your languages";"Λίστα διαθέσιμων γλωσσών"
"Please, choose a file.";"Παρακαλούμε, επιλέξετε ένα αρχείο."
"Please, choose a language.";"Παρακαλούμε, επιλέξετε μία γλώσσα."
"Select a file";"Επιλογή αρχείου"
"Select a language";"Επιλογή γλώσσας"
"Text translation";"Μετάφραση κειμένου"
Translations;Μεταφράσεις
"Your translation";"Η μετάφρασή σας"
