"Show me in ranking";"Aparecer en el ranking"
"Old";"Antiguo"
"Current password";"Contraseña actual"
"New password";"Contraseña nueva"
"Please log in with your mobile phone";"Por favor acceda con su teléfono móvil"
"Please enter your email address. We'll send you your password right now.";"Ingrese su dirección de correo electrónico, donde recibirá su contraseña."
"Or with your account";"O con su cuenta"
"Create an account";"Crear una cuenta"
"Forgot your password?";"¿Olvidó su Contraseña?"
"Log-in";"Conectarse"
"My Account";"Mi Cuenta"
"An error occurred while connecting to your Facebook account. Please try again later";"Se ha producido un error al conectar con su cuenta de Facebook. Por favor inténtelo de nuevo más tarde."
"%s – Account creation";"%s – Creación de cuentas"
"We are sorry but the %s account is already linked to one of our customers";"Lo sentimos pero la cuenta %s ya está siendo usada por uno de nuestros clientes."
"Your account has been successfully saved";"Su cuenta ha sido guardada correctamente"
;
"Congratulations,";"Felicidades,"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Usted acaba de crear su cuenta. Con esta cuenta, usted podrá aprovechar de ofertas ventajosas disponibles en nuestra aplicación."
"Here are your credentials:";"Esto es sus identificadores :"
"Login:";"Correro electrónico :"
"Password:";"Contraseña :"
"If you encounter any problems, do not hesitate to contact us:";"Si usted encuentra problemas, no dude en ponerse en contacto con nosotros : "
"See you soon,";"Hasta pronto"
"A request to reset your password has been made.";"Una demanda de reinicialización de su contraseña ha sido hecha para conectarse a nuestra aplicación."
"Here is your new password:";"Esto es su nuevo contraseña :"
