Cancelled;Cancelado
%s - Customer Service;%s - Serviço cliente
20.00%;20.00%
Add a picture;Adicionar uma imagem
Add options;Adicionar opções
An error occurred while proceeding the payment. Please, try again later.;Ocorreu um erro no processo de pagamento. Por favor, tente novamente mais tarde.
An error occurred while proceeding your order. Please, check the following information:;Ocorreu um erro ao realizar o seu pedido. Por favor, verifique as seguintes informações:
Are you sure you want to close without saving;Tem certeza de que quer encerrar sem salvar
Are you sure you want to delete this category and all its subcategories?;Tem certeza de que deseja excluir esta categoria e todas as suas subcategorias?
Are you sure you want to delete this store?;Tem Certeza de que deseja excluir esta Loja?
Are you sure you want to delete this store?;Tem certeza de que deseja excluir esta loja?
Are you sure you want to delete this tax?;Tem certeza de que deseja excluir este imposto?
Are you sure you want to remove this product?;Tem certeza de que deseja remover este produto?
At least one option is required:;Pelo menos uma opção é necessária:
Carry Out;Executar
Cart;Carrinho
Cash;Dinheiro
Category;Categoria
Category successfully saved.;Categoria salva com sucesso
Check;Verificar
Choose a delivery method:;Alterar o método de entrega:
Choose a payment method:;Alterar o método de pagamento:
Choose a store:;Alterar a Loja:
Completed;Completo
Connected Printers;Impressoras Conectadas
Continue shopping;Continuar comprando
Create a new options group;Criar um novo grupo de opções
Create a new product;Criar um novo produto
Create a new tax;Criar um novo imposto
Create a store;Criar uma loja
Credit card (pay upon pickup or delivery);Cartão de crédito (pagar na recebimento ou entrega)
Credit Card by phone;Cartão de crédito por telefone
Customer;Cliente
Customer;Cliente
Customer Service;Serviço Cliente
Delivery;Entrega
Delivery;Delivery
Delivery area;Área de Entrega
Delivery fees;Taxa de Entrega
Delivery fees;Taxa de Entrega
Delivery fees;Taxa de Entrega
Delivery Fees;Taxa de Entrega
Delivery fees:;Taxa de Entrega:
Delivery Method;Formas de Entrega
Delivery methods;Formas de Entrega
Delivery methods:;Formas de Entrega:
Delivery radius;Raio de Entrega
Delivery radius:;Raio de Entrega:
Delivery time;Horário de Entrega
Delivery time;Horário de Entrega
Delivery time:;Horário de Entrega:
Details;Detalhes
e.g., Sauces;ex: Molhos
Edit a store;Editar a loja
Edit the options group %s;Editar opções de grupo %s
Edit the product %s;Editar o produto %s
Edit the tax %s;Editar o imposto %s
Free delivery starting from;Entrega gratuita a partir de
Free delivery starting from:;Entrega gratuita a partir de:
Here is the detail of the order;Aqui está o detalhe do pedido
Here is the detail of your order;Aqui está o detalhe de seu pedido
Hours of operation;Horário de funcionamento
Hours of operation:;Horário de funcionamento:
In store;Na loja
Meal Voucher;Vale-Presente
Minimum order;Pedido mínimo
Minimum order:;Pedido mínimo:
My Cart;Meu Carrinho
My cart is empty;Meu carrinho está vazio
My categories;Minhas categorias
My information;Minhas informações
My orders;Meus pedidos
My product's categories;Minhas categorias de produto
My product's options;Minhas opções de produto
My products;Meus produtos
My stores;Minhas lojas
My taxes;Meus impostos
Name of the options group:;Nome do grupo opções:
New order from the application;Novo pedido a partir do aplicativo
Number;Número
Option name;Nome opção
Option name:;Nome opção:
Options group successfully deleted;Grupo de Opções excluído com sucesso
Options group successfully saved;Grupo de Opções salvo com sucesso
Order confirmation;Confirmação de pedido
Order details;Detalhes pedido
Order Number;Número pedido
Order successfully saved;Pedido salvo com sucesso
Orders;Pedidos
Paid;Pago
Password;Senha
Password:;Senha:
Payment;Pagamento
Payment Method;Forma de Pagamento
Payment methods:;Forma de Pagamento:
Paypal;Paypal
Pending payment;Pagamento pendente
Picture;Imagem
Please choose a delivery method;Por favor altere a forma de entrega
Please choose a payment method;Por favor altere a forma de pagamento
Please, enter an email address for the store %s;Por favor, insira um endereço de e-mail para a loja %s
Price;Preço
Price: %s;Preço: %s
Printer successfully saved;Impressora salva com sucesso.
Proceed;Prosseguir
Product;Produto
Product;Produto
Product name;Nome produto
Product name:;Nome produto:
Product successfully saved;Produto salvo com sucesso
Qty;Qtde
Qty;Qtde
Qty: %s;Qtde: %s
Radius in Km;Raio em Km
Review;Revisão
Settings;Configurações
Signature;Assinatura
Signature:;Assinatura:
Status;Status
Store information;Informações Loja
Store name;Nome Loja
Store name:;Nome Loja:
Store successfully deleted;Loja deletada com sucesso
Store successfully saved;Loja salva com sucesso
Stores;Lojas
Subtotal;Subtotal
Subtotal;Subtotal
Tax;Imposto
Tax;Imposto
Tax name;Nome imposto
Tax name:;Nome imposto:
Tax rate;Taxa de imposto
Tax rate:;Taxa de imposto:
Tax successfully deleted;Imposto deletado com sucesso
Tax successfully saved;Imposto salvo com sucesso
Tax:;Imposto:
Thank you!;Obrigado!
The delivery method;Forma de Entrega
The following options are required:<br />%s;As seguintes opções são necessárias:<br />%s
The option %s is required;A opção %s é obrigatória.
The payment has been cancelled, something wrong happened? Feel free to contact us;O pagamento foi cancelado, algo de errado aconteceu? Não hesite em contatar-nos
The payment method;Forma de pagamento
Time in minutes;Tempo em minutos
Total;Total
Total;Total
Total;Total
Total Excl. Tax;Total Excl. imposto
Total Excl. Tax;Total Excl. imposto
Total Tax;Total imposto
Total: %s;Total: %s
Unit price;Preço unitário
Unit Price;Preço unitário
Username;Nome de Usuário
Username:;Nome de Usuário:
We apologize but the payment method %s is currently not available;Pedimos desculpas, mas a forma de pagamento %s está indisponível no momento
We thank you for your order. A confirmation email has been sent;Agradecemos por seu pedido. Um e-mail de confirmação foi enviado
You don't have any categories yet;Você não tem nenhuma categoria ainda
You have a connected printer? Enter the email address;Você tem uma impressora conectada? Digite o endereço de email
You have a connected printer? Enter the email address for each store;Você tem uma impressora conectada? Digite o endereço de e-mail para cada loja
Your address;Seu endereço
Your email address;Seu endereço de e-mail
Your firstname;Seu Nome
Your lastname;Seu sobrenome
Your phone number;Seu telefone
