"%s Subscription for %s";"%s Abbonamento per %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Clicca qui</a> per<a href=""%s"">Clicca qui</a> per tornare alla lista delle tue applicazioni"
"Active";"Attiva"
"Address 1";"Indirizzo 1"
"Address 2";"Indirizzo 2"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Si è verificato un errore durante il pagamento. Per maggiori informazioni contattaci."
"An error occurred while processing your order. Please, check your 2Checkout credentials or try again later.";"Si è verificato un errore durante l'elaborazione dell'ordine. Controlla le Tue credenziali 2Checkout o riprova più tardi."
"An error occurred while processing your order. Please, try again later.";"Si è verificato un errore durante l'elaborazione dell'ordine. Riprova più tardi."
"An error occurred while saving. Please try again later";"Si è verificato un errore durante il salvataggio dell'ordine. Riprova più tardi."
"An error occurred while saving. The selected subscription is not valid.";"Si è verificato un errore durante il salvataggio dell'ordine. La sottoscrizione selezionata non è valida."
"Are you sure you want to delete this plan?";"Sei sicuro di voler sottoscrivere questo piano?"
"Be careful: a 2Checkout stopped recurrence can only be reactivated by a 2Checkout representative.";"Attenzione: un 2Checkout bloccato può essere riattivato solo da un rappresentante 2Checkout."
"Billing Address";"Indirizzo di fatturazione"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Selezionando questa casella, tu accetti <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">i termini e le condizioni</a>"
"Charged to your client every month";"Cambia prezzo ogni mese"
"Charged to your client every year";"Cambia prezzo ogni anno"
"Charged to your client when placing the order";"Carica il Tuo Cliente al momento dell'ordine"
"Choose the subscription that suits you best:";"Scegli l'abbonamento più adatto a te"
"Choose your Payment method";"Scegli il metodo di pagamento"
"City";"Città"
"Create a new subscription";"Crea un nuovo abbonamento"
"Creation";"Crea"
"Describe here this plan. Will be displayed on the front end";"Descrivi qui questo piano, sarò visibile nel front end"
"Each price must be entered excluding tax";"Ogni prezzo deve essere inserito tasse escluse"
"Edit the subscription %s";"Modifica l'abbonamento %s"
"Expiration";"Scadenza"
"Expiration date";"Data di scadenza"
"Give a name to this plan. Will be displayed on the front end";"Dai un nome al piano. Sarà visibile nel front end"
"List of your plans";"Lista dei tuoi piani"
"List of your subscriptions";"Lista dei tuoi abbonamenti"
"No recurring line items to stop.";"Non ci sono elementi da fermare"
"None";"Nessuno"
"One-off";"Una sola volta"
"Order's details";"Dettagli dell'ordine"
"Payment";"Pagamento"
"Payment Method:";"Metodo di pagamento:"
"Payment Option";"Opzioni di pagamento"
"Payment secured by <img src=""%s"" width=""100"" title=""2Checkout"" />";"Pagamento sicuro by <img src=""%s"" width=""100"" title=""2Checkout"" />"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Pagamento sicuro by <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Inserisci il nome dell'azienda"
"Please, enter a country";"Inserisci la tua Nazione"
"Please, enter a description.";"Inserisci una descrizione"
"Please, enter a name.";"Inserisci il nome"
"Please, enter an address";"Inserisci l'indirizzo"
"Pricing";"Prezziario"
"Proceed to payment?";"Procedere al pagamento?"
"Recurring";"Ricorrente"
"Setup Fee";"Costo pubblicazione"
"Setup fee";"Costo pubblicazione"
"Sorry, but no payment method was found.";"Spiacenti, non è stato trovato alcun metodo di pagamento"
"State/Province";"Provincia"
"Subscription";"Abbonamento"
"Subscription successfully saved";"Abbonamento salvato con successo"
"Subtotal";"Subtotale"
"Thanks!";"Grazie!"
"The monthly price is not a valid price (e.g. 12.34)";"Il prezzo mensile non è un prezzo valido (es 12.34"
"The setup fee is not a valid price (e.g. 12.34)";"Il costo di attivazione non è un prezzo valido (ad esempio 12.34 )"
"The yearly price is not a valid price (e.g. 12.34)";"Il prezzo annuale non è un prezzo valido (es 12.34 )"
"This subscription is active";"Questo abbonamento è attivo"
"VAT Number";"Partita IVA"
"You already have a subscription for this application";"Non hai ancora un abbonamento per questa applicazione"
"You are almost done! After subscribing, your app can be published on both the AppStore and the Google Play.";"Hai quasi finito! Dopo la sottoscrizione, la vostra applicazione può essere pubblicato sia sul AppStore e Google Play."
"You don't have any subscriptions yet";"Non hai ancora nessun abbonamento"
"Your VAT Number is not valid";"La partita IVA non è valida"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"L'ordine è stato annullato. Se avete bisogno di aiuto per effettuare l'ordine, non esitate a contattarci."
"Your order has been successfully paid. Your application will be published very soon.";"L'ordine è stato pagato con successo. L'applicazione sarà pubblicata nei tempi previsti"
"Your subscription must have at least one price";"L'abbonamento deve avere almeno un prezzo"
"Zip Code";"CAP"
"price";"Prezzo"
