"%s – Your new password";"%s - Ihr neues Passwort"
"404, Page not found";"404, Seite nicht gefunden"
"404, page not found";"404, Seite nicht gefunden"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>"
APIs;APIs
Accounts;Konten
Actions;Aktionen
Activated;aktiviert
Add;hinzufügen
"Add a";"Fügen Sie eine"
"Add a new icon";"Fügen Sie ein neues Symbol hinzu"
"Add image";"Bild hinzufügen"
Address;Adresse
Address:;Adresse
All;alle
"All items";"Alle Elemente"
"An error occurred during process. Please try again later.";"Während des Prozesses ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred during the process. Please try again later.";"Während des Vorgangs ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"An error occurred the during process. Please try again later.";"Während des Prozesses ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while loading places.";"Fehler beim Laden von Orten."
"An error occurred while loading the page";"Beim Laden der Seite ist ein Fehler aufgetreten"
"An error occurred while loading the videos. Please try again later.";"Beim Laden der Videos ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while loading. Please try again later.";"Beim Laden ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while loading. Please, try again later.";"Während des Ladens ist ein Fehler aufgetreten. Bitte, versuchen Sie es später erneut."
"An error occurred while saving";"Beim Speichern ist ein Fehler aufgetreten"
"An error occurred while saving your account. Please try again later.";"Fehler beim Speichern von Ihrem Konto. Bitte versuchen Sie es später erneut."
"An error occurred while saving your picto. Please try againg later.";"Beim Speichern Ihres Piktogramm ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while saving your picture. Please try againg later.";"Und speichern Ihres Bildesn ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while saving. Please try again later.";"Beim Speichern ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while saving. Please, try again later.";"Fehler beim Speichern. Bitte, versuchen Sie es später erneut."
"An error occurred while uploading your file. Please, try again later.";"Beim Hochladen der Datei ist ein Fehler aufgetreten. Bitte, versuchen Sie es später erneut."
"An unexpected error occurred while calculating the route.";"Unerwarteter Fehler beim Berechnen der Route."
"Api Keys";"api Keys "
Appearance;Darstellung
Application;Anwendung
"Application Name";"Name der Anwendung"
"Application name";"Name der Anwendung"
Applications;Anwendungen
"Are you sure you want to delete this element?";"Bist du sicher, dass Sie dieses Element löschen möchten?"
"Are you sure you want to delete this picture?";"Sind Sie sicher, dass Sie dieses Bild wirklich löschen möchten ?"
"Are you sure you want to remove this account?";"Bist du sicher, dass Sie dieses Konto entfernen möchten?"
"Authentication failed. Please check your email and/or your password";"Authentifizierung fehlgeschlagen. Bitte überprüfen Sie Ihre E-Mail-und / oder Ihr Passwort vergessen"
Back;zurück
Background;Hintergrund
Booking;Reservierung
Browse;blättern
Calendar;Kalender
"Can only be used once";"Kann nur einmal verwendet werden"
Cancel;stornieren
Cart;Einkaufswagen
Catalog;Katalog
"Change password";"Passwort ändern"
"Checking CNAME configuration:";"Überprüfen CNAME-Konfiguration:"
"Choose a";"Wählen Sie ein"
City;Stadt
City:;Stadt:
Close;schließen
Comment;Kommentar
Comments;Kommentare
Communication;Kommunikation
Company;Firma
Coms;COMS
Conditions;Bedingungen
"Confirm Password";"Kennwort bestätigen"
"Confirm new password";"Neues Kennwort bestätigen"
