"%d Unread Message";"% D missatge no llegit"
"%d Unread Messages";"% D missatges no llegits"
"Account";"compte"
"Change the password";"Canviar la contrasenya"
"Click to mark as not read";"Feu clic per marcar com no llegit"
"Click to mark as read";"Feu clic per marcar com llegit"
"Create a user";"Crear un usuari"
"Edit the account ""%s""";"Editeu el compte ""% s"""
"Edit the user";"Editeu l'usuari"
"Enter your credentials:";"Introdueixi les seves credencials:"
"List of backoffice accounts";"Llista de comptes de backoffice"
"List of the messages";"Llista dels missatges"
"Login to your backoffice interface";"Accedeix al teu interfície de backoffice"
"People who are allowed to access the backoffice";"Les persones que tenen permís per accedir al backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Aquest compte no es pot eliminar, és l'únic"
"User successfully deleted";"Usuari eliminat correctament"
"View Details";"veure detalls"
"Your new password";"La seva nova contrasenya"
"Your password";"la seva contrasenya"
