"Booking details";"Dades de la reserva"
"Booking details:";"Dades de la reserva:"
"Booking subject:";"Subjecte de reserva:"
Comment:;comentari:
"Date and time";"Data i hora"
"Date and time:";"Data i hora:"
"Email address:";"Adreça de correu electrònic:"
"Enter the location name and contact email:";"Introduïu el nom de la ubicació i correu electrònic de contacte:"
"First name / Last name";"Nom / Cognoms"
"Here are his personal information:";"Heus aquí les seves dades personals:"
Name:;nom:
"Nom du lieu :";"Nom du lieu:"
"People number:";"Nombre de persones:"
"Phone number:";"Número de telèfon:"
"Please fill out the following fields: ";"Si us plau, ompli els següents camps:"
"Please fill out the following fields:<br />";"Si us plau, ompli els següents camps: <br />"
"Please, choose a store";"Si us plau, tria una botiga"
"Thank you for your request. We'll answer you as soon as possible.";"Gràcies per la seva sol·licitud. Li contestarem el més aviat possible."
"The booking information";"La informació de la reserva"
"The booking informations";"Les informacions de reserva"
"The date and time of the booking";"La data i hora de la reserva"
"The number of people";"El nombre de persones"
"You have received a message for the booking of";"Ha rebut un missatge de la reserva de"
"Your phone number or email address";"El seu número de telèfon o correu electrònic adreça"
