Add a page;Adicionar uma página
Click on;Clique em
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Clique em uma página para adicioná-la na pasta <span id=""folder_name"" class=""folder_name"">""%s""</span>"
Click on a page to add it to the folder;Clique em uma página para adicioná-la na pasta
Close mobile display;Fechar exibição móvel
Delete this folder and all its subfolders?;Apagar esta pasta e todas as suas subpastas?
Folder title is required;Título da pasta é necessária
Folders;Pastas
Mobile display;Celular display
New folder;Nova pasta
Subtitle;Subtítulo
You cannot add this feature;Você não pode adicionar esse recurso
You must first complete the current category creation process;Primeiro, você deve completar o atual processo de criação de categoria
You will lose all unsaved changes, continue?;Você perderá todas as alterações não salvas, continuar?
to add a folder.;para adicionar uma pasta.
