"1. Download the app previewer:";"1.下载应用程序的预览："
"2. Open the app and login";"2.打开应用程序，并输入"
"<b>File type:</b> %s";"<b>文件类型：</b>的％s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>点击 <button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>添加项目</span>"
"Activated";"活性"
"Add a new icon";"添加一个新的图标"
"Add pages";"添加页面"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"在复制的应用程序图标时发生错误。请检查该图标，重新尝试发送，然后再试一次。"
"An error occurred during the generation of your QRCode. Please try again later.";"同时生成QR码时发生错误。请稍后再试。"
"An error occurred while adding the option";"出现错误添加选项"
"An error occurred while changing your layout.";"未能改变它的设计。"
"An error occurred while deleting the option";"有一个错误删除的选项"
"An error occurred while deleting your picture";"而删除你的形象发生了错误"
"An error occurred while editing file (%s).";"编辑文件（ ％ S）时发生错误。"
"An error occurred while loading";"有同时加载错误"
"An error occurred while saving the application. Please try again later.";"有一个错误保存应用程序。请稍后再试。"
"An error occurred while saving your colors.";"有一个错误节省你的颜色。"
"An error occurred while saving your page name.";"有一个错误保存您的页面名称。"
"An error occurred while saving. The selected icon is not valid.";"有一个错误的节省。所选择的图标是无效的。"
"An error occurred while sorting your pages. Please try again later.";"目前在订购页面错误。请稍后再试。"
"Analytics";"Analytics（分析）"
"Android APK Generation";"新一代的Android APK"
"Android Version";"Android版"
"App Store Icon";"图标苹果商店"
"Apple's Information";"Apple资讯"
"Application name";"应用程序名称"
"Are you sure you want to remove this application?";"你确定你要删除这个应用程序？"
"At least 200 characters in the description";"在描述中至少有200个字符"
"At least, 4 pages in the application";"在应用程序中至少有4个功能"
"Average by customer";"平均每个客户"
"Bundle Id";"包ID"
"Buy one, get one!";"买一赠一！"
"Certificate";"证书"
"Change your";"变化"
"Change your template";"改变你的模板"
"Change your<br /><span>picture</span>";"变化<br /><span>图片</span>"
"Checking CNAME configuration:";"检查CNAME配置："
"Choose your design";"选择您的设计"
"Choose a <br /><span class=""bold"">picture</span>";"选择一个 <br 7><span class=”bold”>图片</span>"
"Choose a country";"选择一个国家"
"Choose a font family";"选择字体系列"
"Choose your colors";"选择颜色"
"Choose your country";"选择您的国家"
"Choose your font style";"选择你的字体样式"
"Choose your homepage image";"选择你的形象主页"
"Choose your icons color";"选择你的彩色图标"
"Choose your layout";"选择演示文稿"
"Choose your template";"选择您的模板"
"Click here to download the source code:";"点击此处下载源代码："
"Click here to send your certificate";"点击这里给我您的证书"
"Colors";"颜色"
"Dashboard icon";"应用程序图标"
"Deactivated";"离"
"Delete this page?";"删除此页？"
"Design";"设计"
"Developer Accounts";"开发者帐户"
"Device Information";"设备信息"
"Discount zone description. Here your clients will be able to see the details of each discount";"折扣描述区域。在这里，客人可以查看每个优惠详情"
"Domain";"域"
"Domain name";"域名"
"Download";"下载"
"Download our app previewer";"下载我们的应用程序的预览"
"Drop your certificate here";"在这里放下你的证书"
"Edit my";"编辑我"
"Edit the application ""%s”";"编辑应用程序“％s”"
"Editor";"编辑"
"Extension not allowed, '%s' only";"不允许扩展'％s'的"
"Features";"功能"
"Fred W.";"弗雷德W."
"General Information";"一般信息"
"General information";"一般信息"
"Global visits";"全球意见"
"Google Play Icon";"图标谷歌播放"
"Google's Information";"谷歌信息"
"Here is our latest creation. What do you think?";"这是我们的最新创作。你有什么感想？"
"Homepage preview";"预览页面"
"I don't have a Google developer account and I want to create one";"不要有一个帐户谷歌开发者和想创建一个"
"I don't have an Apple developer account and I want to create one";"我没有苹果的开发者账户，并希望创建一个"
"I have an Apple developer account";"我有一个苹果开发者账户"
"I have an Google developer account";"我有一个开发者账户谷歌"
"I let you publish my application under your Apple developer account";"我让我的应用程序被发布在苹果开发者账户"
"I let you publish my application under your Google developer account";"我让我的应用程序在你的开发者帐户谷歌公布"
"Icons";"图标"
"Id";"ID"
"If you validate, your app's colors and background image will be replaced";"您的应用程序，如果确认，将被替换壁纸的颜色和"
"Installed application";"安装的应用程序"
"Key Password";"密钥密码"
"Keywords";"关键词"
"Last name:";"姓："
"Library icons";"图标库"
"List of my applications";"我的应用程序列表"
"List of your applications";"勾"
"Loading";"载入中"
"Lock the entire application";"阻止整个应用程序"
"Love it <3";"我喜欢 <3"
"Main";"主"
"Manage icons";"管理图标"
"Media";"媒体"
"Missing Information";"缺少信息"
"Mobile Source Codes";"移动源代码"
"Mobile source codes";"移动源代码"
"Mobile website information";"信息的手机网站"
"My QRCode";"我的QRCode的"
"My application in figures";"我的数字应用程序"
"One free coffee";"免费咖啡"
"Or go on your store<br />and look for ""Apps Company Previewer""";"或者去他们的店里看看\u003cbr /\u003e “应用程序公司预览”"
"Page name:";"页面名称："
"Percentage of returning customers";"谁返回客户的百分比"
"Please enter a correct URL for the %s store";"请输入正确的网址仓库％S"
"Please enter a subdomain.";"请输入一个子域。"
