"%s - Your new password";"%s - Ο νέος σας Κωδικός"
"%s – Your new password";"%s – Ο νέος σας Κωδικός"
"A request to reset your password has been made to log in to your administration panel.";"Η αίτηση για την επαναφορά του Κωδικού σας έχει γίνει για να συνδεθείτε στον πίνακα διαχείρισης."
"Admin successfully deleted";"Ο διαχειριστής διεγράφη επιτυχώς"
"An error occurred while saving. The country is not valid.";"Παρουσιάστηκε σφάλμα κατά την αποθήκευση. Η χώρα δεν είναι έγκυρη."
"Are you sure you want to delete this application?";"Είστε σίγουρος ότι θέλετε να διαγράψετε αυτή την εφαρμογή?"
"Can add pages";"Μπορεί να προσθέσει σελίδες"
"Change my password";"Αλλαγή του Κωδικού μου"
"Confirm your password";"Επιβεβαίωση Κωδικού σας"
"Create a new application";"Δημιουργήστε μια καινούργια εφαρμογή"
"Create a new user";"Δημιουργήστε έναν καινούριο χρήστη"
"Created At";"Δημιουργήθηκε"
"Created at %s";"Δημιουργήθηκε %s"
"Do not hesitate to give us your feedback by sharing your needs:";"Μην διστάσσετε να μας στείλετε τα σχόλιά σας, μοιράζοντας τις ανάγκες σας μαζί μας:"
"Edit the account ""%s""";"Επεξεργασία λογαριασμού ""%s"""
"Edit the account ""%s”";"Επεξεργασία λογαριασμού ""%s"""
"Edit the user %s";"Επεξεργασία  χρήστη % s"
"Enjoy!";"Απολαύστε!"
"Find some advices here:";"Βρείτε κάποιες συμβουλές εδώ:"
"Here are your credentials, keep them preciously:";"Εδώ είναι τα στοιχεία πρόσβασής σας, φυλάξτε τα:"
"List of admin accounts";"Λίστα Λογαριασμών Διαχειριστή"
"List of my accounts";"Λίστα των λογαριασμών μου"
"List of your users";"Λίστα των χρηστών σας"
"Log-in As";"Συνδεθείτε ώς"
"Manage access";"Διαχείριση πρόσβασης"
"My Applications";"Οι εφαρμογές μου"
"My information";"Οι πληροφορίες μου"
"My informations";"Οι πληροφορίες μου"
"Need some help?";"Χρειάζεστε κάποια βοήθεια?"
"Please enter a valid email address.";"Παρακαλώ εισάγετε ένα έγκυρο E-mail."
"Please, enter an application name";"Παρακαλώ, εισάγετε όνομα εφαρμογής"
"Ready to create your own apps?";"Είστε έτοιμοι να δημιουργήσετε τις δικές σας εφαρμογές?"
"Sign up";"Εγγραφή"
"Thanks for choosing us!";"Ευχαριστούμε που μας επιλέξατε!"
"The Support Team";"Ομάδα Υποστήριξης"
"The password and the confirmation does not match.";"Ο Κωδικός και η επιβεβαίωση Κωδικού δεν ταιριάζουν."
"The password must be at least 6 characters.";"Ο Κωδικός σας πρέπει να περιλαμβάνει τουλάχιστον 6 χαρακτήρες."
"We are sorry but this email address is already used.";"Λυπούμαστε, αλλά αυτό το E-mail χρησιμοποιείται ήδη."
"Welcome!";"Καλώς ήρθατε!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Θα το αγαπήσετε! Χάρη στα αποτελεσματικά μας χαρακτηριστικά, θα είστε σε θέση να δημιουργήσετε σπουδαίες εφαρμογές για κινητά, μέσα σε λίγα λεπτά."
"You can't delete the main account";"Δεν μπορείτε να διαγράψετε τον κύριο λογαριασμό"
"You don't have any users yet";"Δεν έχετε ακόμη χρήστες"
"Your credentials";"Τα στοιχεία εισόδου σας"
"Your login:";"Είσοδος:"
"Your password:";"Κωδικός:"
