"%s - Your new password";"% S - La seva nova contrasenya"
"A request to reset your password has been made to log in to your administration panel.";"Una sol·licitud per restablir la contrasenya s'ha fet per accedir al seu panell d'administració."
"Admin successfully deleted";"Admin ha eliminat correctament"
"An error occurred while saving. The country is not valid.";"S'ha produït un error en desar. El país no és vàlida."
"Are you sure you want to delete this application?";"Segur que vols eliminar aquesta aplicació?"
"Can add pages";"Podeu afegir pàgines"
"Change my password";"Canviar la contrasenya"
"Confirm your password";"Confirmeu la contrasenya"
"Create a new application";"Crear una nova aplicació"
"Create a new user";"Crea un nou usuari"
"Created At";"Creat el"
"Created at %s";"Creat el% s"
"Do not hesitate to give us your feedback by sharing your needs:";"No dubti en fer-nos arribar els seus comentaris en compartir les seves necessitats:"
"Edit the account ""%s""";"Editeu el compte ""% s"""
"Edit the user %s";"Editeu l'usuari% s"
Enjoy!;Gaudiu!
"Find some advices here:";"Troba aquí alguns consells:"
"Here are your credentials, keep them preciously:";"Aquí estan els seus credencials, mantenir preciosament:"
"List of admin accounts";"Llista de comptes d'administrador"
"List of my accounts";"Llista dels meus comptes"
"List of your users";"Llista dels seus usuaris"
"Log-in As";"Log-in Com"
"Manage access";"Administrar l'accés"
"My Applications";"Els meus Aplicacions"
"My information";"La meva informació"
"Need some help?";"Necessites ajuda?"
"Please enter a valid email address.";"Si us plau, introdueix una adreça de correu electrònic vàlida."
"Please, enter an application name";"Si us plau, introduïu un nom d'aplicació"
"Ready to create your own apps?";"A punt per crear les seves pròpies aplicacions?"
"Sign up";"Sign up"
"Thanks for choosing us!";"Gràcies per triar!"
"The Support Team";"L'Equip de Suport"
"The password and the confirmation does not match.";"La contrasenya i la confirmació no coincideix."
"The password must be at least 6 characters.";"La contrasenya ha de tenir com a mínim 6 caràcters."
"We are sorry but this email address is already used.";"Ho sentim però aquesta adreça de correu electrònic ja està en ús."
Welcome!;Benvingut!
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Vostè va encantar! Gràcies a les nostres característiques eficaços, vostè serà capaç de crear grans aplicacions mòbils en el seu nom, en qüestió de minuts."
"You can't delete the main account";"No es pot eliminar el compte principal"
"You don't have any users yet";"No té cap usuari encara"
"Your credentials";"Els seus credencials"
"Your login:";"El seu nom d'usuari:"
"Your password:";"La seva contrasenya:"
"API Keys";"claus API"
"Api Keys";"claus de l'API"
"Api Keys successfully saved";"Claus Api guardat correctament"
"1. Download the app previewer:";"1. Descarrega l'aplicació de vista prèvia:"
"2. Open the app and login";"2. Obre l'aplicació i entrada"
"<b>File type:</b> %s";"<B> Tipus d'arxiu: </ b>% s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<Span> Feu clic a </ span> <botó class = tipus ""botó"" = ""add""> <i class = ""icon-plus""> </ i> </ button> <span> per afegir un element. </ span>"
Activated;Activat
"Add a new icon";"Afegeix una nova icona"
"Add pages";"Afegir pàgines"
"Additional options";"Opcions addicionals"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"S'ha produït un error en copiar la icona de l'aplicació. Si us plau, comproveu la icona, proveu d'enviar de nou i torna a intentar-ho."
"An error occurred during the generation of your QRCode. Please try again later.";"S'ha produït un error durant la generació del seu Codi QR. Intenta-ho de nou més tard."
"An error occurred while adding the option";"S'ha produït un error en afegir l'opció"
"An error occurred while changing your layout.";"S'ha produït un error en canviar el seu disseny."
"An error occurred while deleting the option";"S'ha produït un error en eliminar l'opció"
"An error occurred while deleting your picture";"S'ha produït un error en suprimir la seva imatge"
