"My passwords";"Mis contraseñas"
"Current card";"Tarjeta actual"
"Card name";"Nombre de la tarjeta"
"Number of points";"Número de puntos"
Reward;Recompensa
point;punto
Conditions;Condiciones
"Previous cards";"Tarjetas anteriores"
"My new loyalty card";"Mi nueva tarjeta de fidelidad"
"Employee's name";"Nombre del empleado"
"Employee's password";"Contraseña del empleado"
"Delete this password?";"¿ Esta seguro que desea eliminar esta contraseña ?"
"1 validated point = ";"1 punto validado ="
"validated points = ";"Puntos Validados ="
"1 loyalty point =";"1 punto de fidelidad ="
"We are sorry but this card is temporarily blocked";"Lo sentimos, la tarjeta ha sido bloqueada temporalmente"
"Please log in.";"Debe iniciar sesión …"
Congratulations;Felicidades
"You have unlocked %d loyalty card%s";"Usted ha validado %d tarjeta %s de lealtad"
"You own:";"Tiene : "
"You're gonna validate <span id=""number_of_points"">1 point</span>";"Va a validar<span id=""number_of_points"">1 punto</span>"
"Please enter the password";"Por favor ingrese la contraseña"
"Your loyalty card has been saved successfully";"Su tarjeta de fidelidad ha sido guardada correctamente"
"An error occurred while saving your loyalty card. Please fill all fields in.";"Se ha producido un error al guardar tu tarjeta de fidelidad. Por favor rellene todos los campos."
"An error occurred while saving your loyalty card.";"Se ha producido un error al guardar tu tarjeta de fidelidad."
"An error occurred while saving the password. Please try again later.";"Se ha producido un error al guardar la contraseña. Por favor inténtelo de nuevo más tarde."
"Your password must be 4 digits";"La contraseña debe tener 4 dígitos"
"Please enter a name";"Por favor ingrese un nombre"
"You must be logged in to validate points";"Usted debe iniciar sesión para validar los puntos"
"An error occurred while validating point. Please try again later.";"Se produjo un error al validar el punto. Por favor inténtelo de nuevo más tarde."
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"La contraseña no es valida.<br />Cuidado, Attention, plus que %d intentos%s  que le quedan antes de bloquear su tarjeta.<br />Pregunte al responsable de la app para validar su punto"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Usted ha excedido el número de intentos para validar puntos. Su tarjeta estará bloqueada durante 24 horas"
"Point%s successfully validated";"Punto %s validado%s correctamente"
"You just finished your card";"Usted acaba de terminar su tarjeta"
"We are sorry, your card is temporarily blocked";"Lo sentimos, la tarjeta ha sido bloqueada temporalmente"
