"An error occurred while saving your discount. Please fill in all fields";"S'ha produït un error mentre es desava el teu descompte. Empleneu tots els camps"
"Are you sure you want to use this discount?";"Esteu segur que voleu fer servir aquest descompte?"
"Closed discounts";"Descomptes tancats"
"Create a new discount";"Crear un nou descompte"
"Delete this discount?";"Voleu suprimir aquest descompte?"
"Discount successfully deleted";"Descompte correctament"
"Discount successfully saved";"Descompte salvat correctament"
"Please select an end date greater than the current date.";"Si us plau, seleccioneu una data d'acabament superior a la data actual."
"This discount is now used";"Aquest descompte s'utilitza ara"
"Valid until";"Vàlid fins al"
"You have already use this discount";"Ja fa utilitzar aquest descompte"
"You must be logged in to use a discount";"Vostè estar enregistat per utilitzar un descompte"
"or illimited";"o límit"
"use only once";"utilitzar només una vegada"
"you'll be able to remove this promotion later";"vostè serà capaç d'eliminar aquesta promoció més tard"
