"Actions";"Azioni"
"An error occurred while deleting your role. Please, try again later.";"Un errore ha impedito di cancellare il ruolo. Riprova più tardi"
"An error occurred while deleting your role. please try again later.";"Si è verificato un errore durante l'eliminazione delruolo. Riprova più tardi"
"Code";"Codice"
"Create a new role";"Crea un ruolo"
"Delete";"Cancella"
"Edit";"Modifica"
"Edit %s role";"Modifica %s ruolo"
"Id";"ID"
"Label";"Etichetta"
"List of your roles";"Lesta dei tuoi ruoli"
"Role";"Ruolo"
"Search";"Cerca"
"This role will be the default one for the whole platform.";"Questo ruolo sarà quello di default per l'intera piattaforma"
"You don't have any role yet";"Non hai ancora nessun ruolo"
"Your role has been deleted successfully.";"Il ruolo è stato cancellato con successo"
"Your role has been saved successfully.";"Il ruolo è stato salvato con successo"
"Your role has been successfully deleted";"Il ruolo è stato eliminato con seuccesso"
"Your role has been successfully saved";"Il tuo ruolo è stato salvato con successo"
"%s - Your new password";"La tua nuova password"
"A request to reset your password has been made to log in to your administration panel.";"Una richiesta per reimpostare la password è stata fatta per accedere al pannello di amministrazione"
"Access Management";"Gestione accessi"
"An error occurred while saving. The country is not valid.";"Si è verificato un errore durante il salvataggio . Il paese non è valido ."
"Are you sure you want to delete this application?";"Sei sicuro di voler cancellare questa applicazione?"
"Can add pages";"Puoi aggiungere pagine"
"Change my password";"Cambia la mia password"
"Confirm your password";"Conferma la tua password"
"Create a new application";"Crea una nuova applicazione"
"Create a new user";"Crea un nuovo utente"
"Created At";"Creato il"
"Created at %s";"Creato da"
"Do not hesitate to give us your feedback by sharing your needs:";"Non esitate a darci il vostro feedback condividendo le vostre esigenze:"
"Edit the account ""%s""";"Modifica il tuo account"
"Edit the user %s";"Modifica il tuo profilo"
"Enjoy!";"Buon divertimento!"
"Find some advices here:";"Trova dei consigli qui:"
"Here are your credentials, keep them preciously:";"Qui ci sono le tue credenziali, conservale con cura"
"List of admin accounts";"Elenco admin accounts"
"List of my accounts";"Lista miei accounts"
"List of your users";"Lista dei tuoi users"
"Log-in As";"Login"
"Manage access";"Gestione accessi"
"My Applications";"Le mie applicazioni"
"My information";"Le mie informazioni"
"Need some help?";"Hai bisogno di aiuto?"
"Please enter a valid email address.";"Perfavore inserisci un indirizzo email valido"
"Please, enter an application name";"Perfavore inserisci il nome dell'applicazione"
"Ready to create your own apps?";"Sei pronto a creare le tue applicazioni?"
"Role";"Ruolo"
"Sign up";"Iscriviti"
"Thanks for choosing us!";"Grazie per averci scelto"
"The Support Team";"Il team di supporto"
"The password and the confirmation does not match.";"La password e la conferma non corrispondono"
"The password must be at least 6 characters.";"La password deve essere di almeno 6 caratteri"
"User successfully deleted";"User cancellato con successo"
"We are sorry but this email address is already used.";"Siamo spiacenti ma l'indirizzo e-mail è già utilizzato"
"Welcome!";"Benvenuto!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Non potrai più farne a meno! Grazie alle efficaci caratteristiche, sarai in grado di creare applicazioni in pochissimi minuti, e senza una riga di codice!"
"You can't delete the main account";"Non puoi eliminare l'account principale"
"You don't have any users yet";"Non hai ancora nessun user"
"Your credentials";"Le tue credenziali"
"Your login:";"Il tuo login:"
"Your password:";"La tua password:"
"Zip Code";"CAP"
"Zip Code:";"CAP"
"API Keys";"API Keys"
"Api Keys";"API Keys"
"Api Keys successfully saved";"Api Keys salvata correttamente"
"1. Download the app previewer:";"Scarica l'app visualizzatore :"
"1. Insert the following code between the %s tag of your page:";"Inserire il seguente codice tra il tag %s della pagina :"
"2. Open the app and login";"Apri l'applicazione e accedi"
"<a href=""%s"" target=""_blank"">Click here for more information about AdMob</a>";"<a href=""%s"" target=""_blank"">Clicca qui per maggiori informazioni su AdMob</a>"
"<b>File type:</b> %s";"<b>File:</b> %s"
"<span>Click on</span><button class=""default_button add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Clicca su</span><button class=""default_button add"" type=""button""><i class=""icon-plus""></i></button> <span>per aggiungere un articolo.</span>"
"Activated";"Attivato"
"Add a new icon";"Aggiungi una nuova icona"
"Add pages";"Aggiungi pagine"
"Add pictures";"Aggiungi immagine"
"Additional options";"Opzioni aggiuntive"
"Allow user to request app publication";"Consenti all'utente di richiedere la pubblicazione app"
"Allowed";"Ammessi"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Si è verificato un errore durante il caricamento dell'icona dell'App. Controlla l'icona, e riprova il caricamento."
"An error occurred during the generation of your QRCode. Please try again later.";"Si è verificato un errore durante il caricamento del QR code. Riprova"
"An error occurred while adding the option";"Si è verificato un errore durante l'aggiunta dell'opzione"
"An error occurred while changing your layout.";"Si è verificato un errore durante il cambiamento del tuo layout."
"An error occurred while deleting the option";"Si è verificato un errore durante l'eliminazione dell'opzione"
"An error occurred while deleting your picture";"Si è verificato un errore durante l'eliminazione della tua immagine"
"An error occurred while editing file (%s).";"Si è verificato un errore durante la modifica del file (%s)."
"An error occurred while hidding the iOS Status Bar";"Si è verificato un errore con l'iOS status bar"
"An error occurred while loading";"Si è verificato un errore durante il caricamento"
"An error occurred while saving the application. Please try again later.";"Si è verificato un errore durante il salvataggio dell'applicazione"
"An error occurred while saving your colors.";"Si è verificato un errore durante il salvataggio dei tuoi colori"
"An error occurred while saving your page name.";"Si è verificato un errore durante il salvataggio del nome pagina"
"An error occurred while saving. The selected icon is not valid.";"Si è verificato un errore durante il salvataggio. L'icona selezionata non è valida"
"An error occurred while sorting your pages. Please try again later.";"Si è verificato un errore durante l'ordinamento delle pagine . Si prega di riprovare più tardi"
"An error occurred while sorting your slider images. Please try again later.";"Si è verificato un errore durante l'ordinamento ldelle immagini. Per favore riprova più tardi."
"Analytics";"Analytics"
"Android APK Generation";"Android APK Generation"
"Android Version";"Android Version"
"App ID";"App ID"
"App Store Icon";"App Store Icon"
"Apple rejects apps that includes Ad Support but doesn't use it.<br />Generate your iOS app out of this source code if you don't include Ads.";"Apple rifiuta le App che includono la funzione Annunci ma che non le adoperano. Se non utilizzi annunci nella Tua applicazione, scarica il questo source code  (NO ADS)"
"Apple's Information";"Apple's Information"
"Application name";"Nome dell'applicazione"
"Are you sure you want to remove this application?";"Sei sicuro di voler rimuovere questa applicazione?"
"At least 200 characters in the description";"Almeno 200 caratteri nella descrizione"
"At least, 4 pages in the application";"Almeno 4 pagine nell'applicazione"
"Audio";"Audio"
"Average by customer";"Media per cliente"
"Book";"Libro"
"Bundle Id";"Bundle Id"
"Business";"Business"
"Catalogs";"Cataloghi"
"Certificate";"Certificati"
"Change your";"Cambia il tuo"
"Change your template";"Cambia il tuo template"
"Change your<br /><span>picture</span>";"Cambia la tua<br /><span>immagine</span>"
"Checking CNAME configuration:";"Controllo della configurazione CNAME:"
"Choose a <br /><span class=""bold"">picture</span>";"Scegli una <br /><span class=""bold"">immagine</span>"
"Choose a country";"Scegli un paese"
"Choose a font family";"Scegli un font family"
"Choose a template to customize";"Scegli un template da personalizzare"
"Choose your colors";"Scegli i tuoi colori"
"Choose your country";"Scegli il tuo paese"
"Choose your design";"Scegli il tuo stile"
"Choose your font style";"Scegli il tuo font style"
"Choose your homepage image";"Scegli l'immagine dell'homepage"
"Choose your icons color";"Scegli il colore delle tue icone"
"Choose your layout";"Scegli il tuo layout"
"Choose your template";"Scegli il tuo template"
"Click here to download the source code:";"Clicca qui per scaricare il source code"
"Click here to send your certificate";"Clicca qui per inviare il tuo certificato"
"Colors";"Colori"
"Dashboard icon";"Impostazioni icona"
"Deactivated";"Disattivato"
"Delete this page?";"Cancellare questa pagina?"
"Design";"Design"
"Developer Accounts";"Developer Accounts"
"Device Information";"Device Information"
"Discount zone description. Here your clients will be able to see the details of each discount";"Descrizione dello sconto. Qui i vostri clienti saranno in grado di vedere i dettagli di ogni sconto"
"Display the homepage slider";"Mostra l'homepage slider"
"Domain";"Dominio"
"Domain name";"Nome dominio"
"Download";"Scarica"
"Download our app previewer";"Scarica il nostro visualizzatore di app"
"Drop your certificate here";"Trascina qui il tuo certificato"
"Edit";"Modifica"
"Edit my";"Modifica il mio"
"Edit the application ""%s""";"Modifica l'applicazione ""%s"""
"Editor";"Editor"
"Education";"Educazione"
"Enter your AdMob ID for each platform.";"Inserisci il tuo ID AdMob per ogni piattaforma."
"Entertainment";"Divertimento"
"Extension not allowed, '%s' only";"Estensione non consentita, solo '%s'"
"Facebook API Keys";"Facebook API Keys"
"Features";"Funzioni"
"Features Access Settings";"Caratteristiche Impostazioni di accesso"
"Finance";"Finanza"
"Food & Drink";"Mangia & Bevi"
"Fred W.";"STS"
"Free until %s";"Gratuito fino a %s"
"Games";"Giochi"
"General Information";"Informazioni generali"
"General Settings";"Impostazioni generali"
"General information";"Informazioni generali"
"Generate";"Genera"
"Global visits";"Visite globali"
"Go to first images on loop";"Torna alla prima immagine finita la sequenza"
"Google Play Icon";"Google Play Icon"
"Google's Information";"Google's Information"
"Health & Fitness";"Salute & Fitness"
"Here is our latest creation. What do you think?";"Qui c'è la nostra ultima creazione. Cosa ne pensi?"
"Hide iOS status bar";"Nascondi iOS status bar"
"Homepage preview";"Anteprima homepage"
"I don't have a Google developer account and I want to create one";"Non ho un account di sviluppatore Google e voglio creare uno"
"I don't have an Apple developer account and I want to create one";"Non ho un account di sviluppatore Apple e voglio creare uno"
"I have an Apple developer account";"Ho un account di sviluppatore Apple"
"I have an Google developer account";"Ho un account di sviluppatore Google"
"I let you publish my application under your Apple developer account";"Vorrei richiedere la pubblicazione con il vostro account sviluppatore Apple"
"I let you publish my application under your Google developer account";"Vorrei richiedere la pubblicazione con il vostro account sviluppatore Google"
"Icons";"Icone"
"Id";"ID"
"If you validate, your app's colors and background image will be replaced";"Se si continua, verranno sostituiti i colori della tua app e immagine di sfondo"
"Installed application";"Applicazione installata"
"Key Password";"Key Password"
"Keywords";"Keywords"
"Last name:";"Cognome:"
"Library icons";"Lista delle icone"
"Lifestyle";"Stile di vita"
"List of my applications";"Lista delle mie applicazioni"
"List of your applications";"Lista delle tue applicazioni"
"Loading";"Caricamento"
"Lock the entire application";"Bloccare l'intera applicazione"
"Love it <3";"Lo amo <3"
"Main";"Principale"
"Manage Access";"Accesso amministrazione"
"Manage icons";"Gestione icone"
"Media";"Media"
"Medical";"Medico"
"Missing Information";"Informazioni mancanti"
"Mobile Source Codes";"Mobile Source Codes"
"Mobile source codes";"Mobile Source Codes"
"Mobile website information";"Mobile website informazioni"
"Monetize my app using AdMob?";"Monetizzo la mia app usando AdMob?"
"Monetize your app";"Monetizza la tua app"
"My QRCode";"Il mio QR code"
"My application in figures";"La mia applicazione in cifre"
"Name";"Nome"
"Navigation";"Navigatore"
"News";"News"
"No";"No"
"No features available for this application.";"Non ci sono contenuti disponibili per questa applicazione"
"Note that if you want to add ads later, you will have to publish the app again.";"Da considerare se si desidera aggiungere gli annunci più tardi , sarà necessario pubblicare di nuovo l'applicazione."
"One free coffee";"Un caffè gratuito"
