"Action";"Действие"
"App Name";"Имя App"
"Client";"Клиент"
"Date";"Дата"
"Invoice";"Счет-фактура"
"Invoice %s";"Счет-фактура %s"
"Invoice N°";"N° счета"
"List of your invoices";"Список ваших счетов"
"My Invoices";"Мои счета"
"Order";"Заказ"
"Orders";"Заказы"
"Paid At";"Оплата по адресу"
"Paid at:";"Оплата по адресу:"
"Price Excl. Tax";"Цена без учета налога"
"Qty";"Кол-во"
"This feature is not ready yet. Please try again later.";"Эта функция пока не готова. Пожалуйста, повторите попытку позже."
"Total Excl. Tax";"Цена без налога"
"You don't have any invoices yet";"Вы ещё не имеете никаких счетов. "
