"Additionnal Information";"Informazioni aggiuntive"
"An error occurred while deleting the push. Please try again later.";"Si è verificato un errore durante l'eliminazione della push. Si prega di riprovare più tardi."
"And a radius (in Km):";"E un raggio (in km):"
"Android";"Android"
"Creation date";"Data creazione"
"Custom URL";"URL"
"Enter a location:";"Inserisci una posizione:"
"GCM Key";"GCM key"
"I want to send it";"Voglio inviare"
"Keys successfully saved";"Keys salvate correttamente"
"Message";"Messaggio"
"Message:";"Messaggio:"
"No items.";"no articoli"
"Open a feature or a custom URL";"Allega una pagina dell'App o un URL"
"Pending";"In attesa"
"Push Notifications";"Notifica push"
"Push Notifications Settings";"Impostazioni notifiche push"
"Push successfully deleted.";"Push eliminata correttamente"
"Radius";"Raggio"
"Send to a specific location";"Invia ad una posizione specifica"
"Send to all my users";"Invia a tutti i miei users"
"Send to specific topics";"Invia ad argomenti specifici"
"Sender ID";"ID mittente"
"Sending date";"Data invio"
"The duration limit must be higher than the sent date";"La data limite di durata deve essere posteriore alla data di invio"
"Topics";"Argomenti"
"You must choose a topic before sending your message.";"Devi scegliere un argomento prima di inviare il Tuo messaggio"
"Your app must be published to send a push notification.";"L'app deve essere pubblicata per poter inviare notifiche push"
"Your message has been saved successfully and will be sent at the entered date";"Il messaggio è stato salvato con successo e verrà trasmesso alla data inserita"
"Your message has been saved successfully and will be sent in a few minutes";"Il messaggio è stato salvato con successo e verrà inviato in pochi minuti"
"Your message has been saved successfully.";"Il messaggio è stato salvato con successo"
"and users entering the area";"per gli utenti che sono nella zona indicata"
"for a limited period";"che saranno passati da quella zona fino al"
"now";"ora"
"on a specific date";"in una data specifica"
