On;El
Details;Descripción
"End at";"Se termina"
"Closed discounts";"Descuentos terminados"
"Delete this discount?";"¿ Está seguro que desea eliminar este cupón de descuento ?"
"Valid until";"Válido hasta el"
"Use this coupon";"Utilice este cupón de descuento"
"Can only be used once";"Solo se puede utilizar una vez"
"Please log in.";"Inicie su sesión ..."
"An error occurred while saving your discount. Please fill in all fields";"Se ha producido un error al guardar su descuento. Es obligatorio rellenar todos los campos"
"Please select an end date greater than the current date.";"Por favor seleccione una fecha de fin posterior a la fecha actual."
"Discount successfully saved";"Descuento guardado correctamente"
"Discount successfully deleted";"Descuento eliminado correctamente"
"You must be logged in to use a discount";"Usted debe estar conectado para utilizar un cupón de descuento"
"You have already use this discount";"Usted ya ha utilizado este cupón de descuento"
