Add a page;Voeg pagina in
Click on;Klik op
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Klik op een pagina om deze aan een map toe te voegen <span id=""folder_name"" class=""folder_name"">""%s""</span>"
Click on a page to add it to the folder;Klik op een pagina om deze aan een map toe te voegen
Close mobile display;Sluit mobiele weergave
Delete this folder and all its subfolders?;Deze map en alle submappen verwijderen?
Folder title is required;Maptitel is vereist
Folders;Mappen
Mobile display;Mobiele weergave
New folder;Nieuwe map
Subtitle;Ondertitel
You cannot add this feature;U kunt dit kenmerk niet toevoegen 
You must first complete the current category creation process;U moet eerst het huidige categorieën creatieproces voltooien
You will lose all unsaved changes, continue?;U verliest alle niet-opgeslagen wijzigingen, doorgaan?
to add a folder.;een map toevoegen
