%s - Your new password;%s – Uw nieuwe wachtwoord
A request to reset your password has been made to log in to your administration panel.;Er is verzoek gedaan om uw wachtwoord te resetten voor het 'Dutch App Builder' platform admin panel.
Admin successfully deleted;Admin succesvol verwijderd
An error occurred while saving. The country is not valid.;Er is een fout opgetreden tijdens het opslaan. Het land is niet geldig.
Are you sure you want to delete this application?;Weet u zeker dat u deze App wilt verwijderen?
Can add pages;Je kan pagina's toevoegen
Change my password;Wachtwoord wijzigen
Confirm your password;Bevestig je wachtwoord
Create a new application;Maak een nieuwe App
Create a new user;Maak een nieuwe gebruiker
Created At;Gemaakt op
Created at %s;Gemaakt op %s
Do not hesitate to give us your feedback by sharing your needs:;Aarzel niet om ons uw feedback te geven.  Heeft u vragen of problemen mail ons:
"Edit the account ""%s""";"Bewerk de account ""%s”"
Edit the user %s;"Bewerk de gebruiker ""%s”"
Enjoy!;Veel plezier
Find some advices here:;Vind uitleg en advies hier bewaar ze goed
Here are your credentials, keep them preciously:;Hier zijn uw gegevens
List of admin accounts;Lijst van admin accounts
List of my accounts;Lijst van accounts
List of your users;Lijst van gebruikers
Log-in As;Log-in als
Manage access;Beheer toegang
My Applications;Mijn Apps
My information;Mijn gegevens
Need some help?;Hulp nodig?
Please enter a valid email address.;Vul een geldig e-mailadres in.
Please, enter an application name;Vul een applicatie naam in
Ready to create your own apps?;Klaar om je eigen apps te maken?
Sign up;Inschrijven
Thanks for choosing us!;Bedankt dat u voor de Dutch App Builder koos!
The Support Team;Het Dutch App Builder Team
The password and the confirmation does not match.;Het wachtwoord en de bevestiging komt niet overeen.
The password must be at least 6 characters.;Het wachtwoord moet minstens 6 karakterslang zijn.
We are sorry but this email address is already used.;Het spijt ons maar dit e-mailadres wordt al gebruikt.
Welcome!;Welkom
You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.;Je gaat het prachtig vinden! Dankzij onze efficiënte functies zult u in staat zijn om geweldige mobiele apps te creëren in uw naam binnen enkele minuten. 
You can't delete the main account;Je kunt het hoofd account niet verwijderen
You don't have any users yet;U hebt nog geen gebruiker
Your credentials;Uw gegevens:
Your login:;Uw login:
Your password:;Uw wachtwoord:
