"404, page not found";"404, page non trouvée"
"APIs";"APIs"
"Accounts";"Comptes"
"Actions";"Actions"
"Add";"Ajouter"
"Add a";"Ajoutez une"
"Add image";"Ajouter une image"
"Address";"Adresse"
"All items";"Tout"
"Allow all the users by default: ";"Autoriser tous les utilisateurs par défaut:"
"An error occurred during process. Please try again later.";"Une erreur est survenue lors du traitement. Veuillez réessayer ultérieurement."
"An error occurred during the process. Please try again later.";"Une erreur est survenue lors du traitement. Veuillez réessayer ultérieurement."
"An error occurred while loading places.";"Une erreur s'est produite lors du chargement de lieux ."
"An error occurred while loading. Please try again later.";"Une erreur est survenue lors du chargement. Veuillez de réessayer ultérieurement."
"An error occurred while loading. Please, try again later.";"Une erreur est survenue lors du chargement. Veuillez de réessayer ultérieurement."
"An error occurred while saving";"Une erreur est survenue lors de la sauvegarde."
"An error occurred while saving your account. Please try again later.";"Une erreur est survenue lors de la sauvegarde du compte. Merci de réessayer ultérieurement"
"An error occurred while saving your picture. Please try againg later.";"Une erreur est survenue lors de l'enregistrement de votre image. Merci de réessayer ultérieurement."
"An error occurred while saving. Please try again later.";"Une erreur est survenue lors de la sauvegarde. Veuillez réessayer ultérieurement."
"An error occurred while saving. Please, try again later.";"Une erreur est survenue lors de la sauvegarde. Veuillez réessayer ultérieurement."
"An error occurred while uploading your file. Please, try again later.";"Une erreur est survenue lors du téléchargement du fichier. Veuillez réessayer ultérieurement."
"An unexpected error occurred while calculating the route.";"Une erreur inattendue s'est produite lors du calcul de l'itinéraire."
"Appearance";"Apparence"
"Application";"Application"
"Application Name";"Nom de l'application"
"Applications";"Applications"
"Are you sure you want to delete this element?";"Êtes-vous sûr de vouloir supprimer cet élément ?"
"Are you sure you want to remove this account?";"tes-vous sûr de vouloir supprimer ce compte ?"
"Authentication failed. Please check your email and/or your password";"Authentification impossible. Merci de vérifier votre email et/ou votre mot de passe"
"Back";"Retour"
"Background";"Fond"
"Booking";"Réservation"
"Browse";"Parcourir"
"Calendar";"Calendrier"
"Can only be used once";"Utilisable une seule fois"
"Cancel";"Annuler"
"Cart";"Panier"
"Change password";"Modifier le mot de passe"
"City";"Ville"
"City:";"Ville :"
"Close";"Fermer"
"Comment";"Commentaire"
"Comments";"Commentaires"
"Communication";"Communication"
"Company";"Société"
"Coms";"Coms"
"Conditions";"Conditions"
"Confirm Password";"Confirmer le mot de passe"
"Confirm new password";"Confirmer le nouveau mot de passe"
"Contact successfully added to your address book";"Contact ajouté à votre carnet d'adresses"
"Contest";"Concours"
"Country";"Pays"
"Create";"Créer"
"Create a new account";"Création d'un compte"
"Created at";"Créé le"
"Currency";"Devise"
"Current password";"Ancien mot de passe"
"Custom Page";"Page"
"Custon Page";"Page"
"Dashboard";"Dashboard"
"Date of birth";"Date de naissance"
"Date of birth:";"Date de naissance :"
"Default Languages";"Langue par défaut"
"Delete";"Supprimer"
"Description";"Descriptif"
"Description:";"Description :"
"Details";"Détails"
"Discount";"Promo"
"Edit";"Edition"
"Editing";"Création"
"Email";"Email"
"Email address";"Adresse email"
"Email:";"Email :"
"End at";"Se termine"
"Error : <br/>";"Erreur : <br/>"
"Errors : <br/>";"Erreurs : <br/>"
"Export your customers";"Exportez vos clients"
"Extension not allowed, '%s' only";"Extension non autorisée, '%s' seulement."
"Facebook";"Facebook"
"Firstname";"Prénom"
"Firstname:";"Prénom :"
"Folder";"Dossier"
"Forgot your password ?";"Mot de passe oublié ?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Vous avez oublié votre mot passe ? Ne vous inquiétez pas ! Saisissez votre adresse email, nous vous en renverrons un immédiatement."
"Form";"Formulaire"
"General";"Général"
"Hello,";"Bonjour,"
"Here is your new password:";"Voici votre nouveau mot de passe :"
"How do you want to access the backoffice if you remove the only user remaining?";"Comment voulez-vous accéder à l'administration si vous supprimez le seul utilisateur restant ?"
"ID";"Id"
"Image not high enough, %spx minimum allowed.";"Image pas assez grande, %spx minimum authorisé."
"Image not large enough, %spx minimum allowed.";"Image pas assez large, %spx minimum authorisé."
"Image not large enough, '%s' allowed.";"Image pas assez large, '%s' autorisé."
"Image too high, %spx maximum allowed.";"Image trop grande, %spx maximum authorisé."
"Image too large, %spx maximum allowed.";"Image trop large, %spx maximum authorisé."
"Image too large, '%s' allowed.";"Image trop large, '%s' maximum authorisé."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Pour profiter pleinement de nos fonctionnalités, nous vous encourageons à utiliser au minimum :<br />"
"In order to publish your application, we need:<br />- ";"Afin de publier votre application, nous avons besoin de :<br />"
"Incorrect filetype.";"Type de fichier incorrect."
"Info successfully saved";"Informations sauvegardées avec succès"
"Information";"Informations"
"Informations";"Informations"
"Infos successfully saved";"Informations sauvegardées avec succès"
"Insert a <br /><span class=""bold"">cover image</span>";"Insérez une <br /><span class=""bold"">image de couverture</span>"
"Invalid place";"lieu non valide"
"Invoices";"Factures"
"Last Name";"Nom"
"Lastname";"Nom"
"Lastname:";"Nom de Famille :"
"Like";"Aimez"
"Likes";"Likes"
"Link";"Lien"
"Links";"Liens"
"Load More";"Chargez Plus"
"Locate";"Localiser"
"Location:";"Lieu :"
"Log in";"Connexion"
"Log-in";"Connexion"
"Log-out";"Déconnexion"
"Logged in as";"Connecté en tant que"
"Loyalty Card";"Fidélité"
"MM,d yy";"d MM yy"
"MM/dd/y";"dd/MM/y"
"MM/dd/y 'at' hh:mm a";"dd/MM/y à hh'h'mm"
"MM/dd/y hh:mm a";"dd/MM/y hh:mm"
"MM/dd/yy";"dd/MM/yy"
"MM/dd/yyyy";"dd/MM/yyyy"
"MMMM dd y";"dd MMMM y"
"Main category";"Catégorie principale"
"Make this image colorizable";"Rendre cette image colorisable"
"Manage";"Gérer"
"Map";"Map"
"Maps";"Carte"
"Message from your app %s";"Message en provenance de votre application %s"
"Messages";"Messages"
"Modules";"Modules"
"More";"Plus d'infos"
"My account";"Mon compte"
"My invoices";"Mes factures"
"Name";"Nom"
"Never";"Jamais"
"New";"Nouveau"
"Newswall";"Mur d'actu"
"Next";"Next"
"No";"Non"
"No address to display on map.";"Aucune adresse pour afficher sur la carte."
"No place to display on map.";"Pas de POI pour afficher sur la carte."
"No results";"Aucun résultat"
"No uploaded image";"Aucune image téléchargée"
"Nothing to display";"Rien à afficher"
"Number";"Nombre"
"OK";"OK"
"OR";"OU"
"Ouch, this page doesn't exist";"Oups, cette page n'existe pas"
"Padlock";"Privé"
"Password";"Mot de passe"
"Password:";"Mot de passe :"
"Passwords don't match";"Les mots de passe ne sont pas identiques"
"Payment";"Paiement"
"Phone";"Téléphone"
"Phone:";"Téléphone"
"Photos";"Photos"
"Plans";"Plans"
"Platform Name";"Nom de la plate-forme"
"Player";"Lecteur"
"Please enter a password";"Veuillez saisir un mot de passe."
"Please enter a valid URL.";"SVP entrer une URL valide."
"Please enter a valid credit card number.";"SVP entrez un numéro de carte de crédit valide."
"Please enter a valid date (ISO).";"Se il vous plaît entrer une date valide (ISO)."
"Please enter a valid date.";"SVP entrer une date valide."
"Please enter a valid email address";"Veuillez saisir une adresse email valide"
"Please enter a valid email address.";"SVP entrer une adresse email valide."
"Please enter a valid number.";"SVP entrer un numéro valide."
"Please enter a valid url";"Veuillez saisir une url correcte"
"Please enter a value between {0} and {1} characters long.";"SVP entrer une valeur comprise entre {0} et {1} caractères."
"Please enter a value between {0} and {1}.";"SVP entrer une valeur comprise entre {0} et {1}."
"Please enter a value greater than or equal to {0}.";"SVP entrer une valeur supérieure ou égale à {0}."
"Please enter a value less than or equal to {0}.";"Se il vous plaît entrer une valeur inférieure ou égale à {0}."
"Please enter at least {0} characters.";"SVP entrer au moins {0} caractères."
"Please enter no more than {0} characters.";"Se il vous plaît entrez pas plus de {0} caractères."
"Please enter only digits.";"SVP saisir que des chiffres."
"Please enter the same value again.";"SVP entrer de nouveau la même valeur."
"Please enter your email address";"Veuillez saisir votre adresse email"
"Please fill in the following fields:";"SVP remplir les champs suivants :"
"Please fix this field.";"SVP corriger ce domaine."
"Please log in.";"Veuillez vous connecter..."
"Please, enter a correct email address.";"Veuillez saisir une adresse email valide."
"Please, enter a password.";"Veuillez entrer un mot de passe"
