"Booking details";"Dettagli prenotazione"
"Booking details:";"Dettagli prenotazione:"
"Booking subject:";"Oggetto prenotazione:"
"Comment:";"Commenti:"
"Date and time";"Data e ora"
"Date and time:";"Data e ora:"
"Email address:";"Indirizzo email"
"Enter the location name and contact email:";"Immettere la posizione ed il contatto mail"
"First name / Last name";"Nome/Cognome"
"Here are his personal information:";"Ecco le tue informazioni personali:"
"Name:";"Nome:"
"Nom du lieu :";"Nome località:"
"People number:";"Numero di persone"
"Phone number:";"Numero di telefono"
"Please fill out the following fields: ";"Si prega di compilare i seguenti campi:"
"Please fill out the following fields:<br />";"Si prega di compilare i seguenti campi:<br />"
"Please, choose a store";"Scegli lo store"
"Thank you for your request. We'll answer you as soon as possible.";"Grazie per la richiesta, ti informeremo al più presto"
"The booking information";"Informazione di prenotazione"
"The booking informations";"Informazioni di prenotazione"
"The date and time of the booking";"Data e ora della prenotazione"
"The number of people";"Numero di persone"
"You have received a message for the booking of";"È stato ricevuto un messaggio per la prenotazione di"
"Your phone number or email address";"Il tuo numero di telefono o l'indirizzo e-mail"
