"An error occurred while deleting this answer. Please try again later.";"Произошла ошибка во время удаления этого ответа. Пожалуйста, повторите попытку позже."
"Create a news:";"Создать новость"
"Hide this info";"Скрыть эту информацию"
"Information successfully deleted";"Информация успешно удалена"
"Information successfully hidden";"Информация успешно скрыта"
"Information successfully saved";"Информация успешно сохранена"
"Information successfully shown";"Информация успешно показана"
"Insert a";"Вставьте"
"It will be visible only after validation by our team.";"Это будет видно только после проверки нашей командой"
"My customers' comments";"Комментарии моих клиентов"
"My customers answers";"Мои ответы клиентам"
"Near me";"Рядом"
"'Near me' radius (in km):";"""Рядом со мной"" в  радиусе  (км):"
"Near me settings";"Настройки - Рядом со мной "
"Post";"Пост"
"Publishing date";"Дата публикации"
"Radius";"Радиус"
"Radius must be provided.";"Радиус должен быть обеспечен."
"Radius must be a valid numeric value.";"Радиус должен иметь допустимое числовое значение."
"Recent";"Новые"
"Show this info";"Показать эту информацию"
"There is no comment for this news";"Там нет комментариев к новости"
"You can't like more than once the same news";"Новость может нравиться не более одного раза"
"Your flag has successfully been notified";"Ваш флаг был успешно добавлен"
"You need to be connected to create a post";"Вы должны быть соединены, чтобы создать запись"
"Your like has been successfully added";"Ваш лайк был успешно добавлен"
"Your message has been successfully saved.";"Ваше сообщение было успешно сохранено"
"Your post was successfully added";"Ваше сообщение было успешно добавлено"
"Was flagged as inappropriate";"Был помечен как нарушение"
