"Add a link";"Afegir un enllaç"
"An error occurred while saving your picto. Please try againg later.";"S'ha produït un error mentre es desava el teu picto. Si us plau intenti againg lluita més tard."
"Are you sure you want to delete this link?";"Esteu segur que voleu suprimir aquest enllaç?"
"Are you sure you want to delete this picture?";"Esteu segur que voleu suprimir aquesta imatge?"
"Link";"Enllaç"
"Link has been successfully deleted";"Enllaç s'ha suprimit correctament"
"Link has been successfully saved";"Enllaç s'ha desat correctament"
"Link:";"Enllaç:"
"Picto";"Picto"
"The image has been successfully deleted";"La imatge s'ha suprimit correctament"
"The image has been successfully saved";"La imatge s'ha desat correctament"
"Your links";"Seus vincles"
