"%s Subscription for %s";"%s Předplatné pro %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s""> Klikněte zde </a> k návratu do seznamu aplikací"
Active;Aktivní
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Při zpracování platby došlo k chybě. Pro více informací nás neváhejte kontaktovat."
"An error occurred while processing your order. Please, try again later.";"Při zpracování objednávky došlo k chybě. Zkuste to prosím později"
"An error occurred while saving. Please try again later";"Při ukládání došlo k chybě. Zkuste to prosím později"
"An error occurred while saving. The selected subscription is not valid.";"Při ukládání došlo k chybě.Vybrané předplatné není platné."
"Are you sure you want to delete this plan?";"Opravdu chcete smazat tento plán?"
"Billing Address";"Fakturační adresa"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0)";"Zaškrtnutím tohoto políčka souhlasíte s našimi <id=""show_tos"" href=""javascript:void(0)"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Zaškrtnutím tohoto políčka souhlasíte s našimi <id=""show_tos"" href=""javascript:void(0);"" target =""_blank"" class=""underline"">Obchodními podmínkami </a>"
"Charged to your client every month";"?Charged to your client every month?"
"Charged to your client every year";"?Charged to your client every year?"
"Charged to your client when placing the order";"?Charged to your client when placing the order?"
"Choose the subscription that suits you best:";"Vyberte si předplatné, které vám nejlépe vyhovuje:"
"Create a new subscription";"Vytvořit nový plán předplatného"
Creation;Tvorba
"Describe here this plan. Will be displayed on the front end";"Popis plánu předplatného. Bude se zobrazovat při platbě"
"Each price must be entered excluding tax";"Každá cena musí být bez DPH"
"Edit the subscription %s";"Upravit plán %s"
Expiration;"Vypršení platnosti"
"Expiration date";"Datum vypršení platnosti"
"Give a name to this plan. Will be displayed on the front end";"Název plánu předplatného. Bude se zobrazovat při platbě"
"List of your plans";"Seznam plánů předplatného"
"List of your subscriptions";"Seznam předplatného"
None;Žádný
One-off;Jednorázově
"Order's details";"Detail objednávky"
Payment;Platba
"Payment Option";"Možnost platby"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Platba zajištěna společností <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Prosím, zadejte společnost"
"Please, enter a country";"Prosím, zadejte zemi"
"Please, enter a description.";"Prosím, zadejte popis"
"Please, enter a name.";"?Prosím, zadejte jméno?"
"Please, enter an address";"Prosím, zadejte adresu"
Pricing;Ceník
"Proceed to payment?";"Přejít k platbě?"
Recurring;"Opakující se"
"Setup Fee";"Zřizovací poplatek"
"Setup fee";"Zřizovací poplatek"
Subscription;Předplatné
"Subscription successfully saved";"Předplatné úspěšně uloženo"
Subtotal;Mezisoučet
Thanks!;Děkujeme!
"The monthly price is not a valid price (e.g. 12.34)";"Měsíční cena není platná cena (např 12.34)"
"The setup fee is not a valid price (e.g. 12.34)";"Zřizovací poplatek není platná cena (např. 12.34)"
"The yearly price is not a valid price (e.g. 12.34)";"Roční cena není platná cena (např 12.34)"
"This subscription is active";"Toto předplatné je aktivní"
"VAT Number";DIČ
"You already have a subscription for this application";"Již máte předplatné pro tuto aplikaci"
"You don't have any subscriptions yet";"Zatím nemáte žádne předplatné"
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Jste téměř u konce! Po zaplacení vypublikujeme Vaše aplikace jak na iTunes AppStore a Google Play."
"Your VAT Number is not valid";"Vaše DIČ není platné"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Vaše objednávka byla zrušena. Pokud potřebujete s objednávkou pomoc, neváhejte nás kontaktovat."
"Your order has been successfully paid. Your application will be published very soon.";"Vaše objednávka byla úspěšně zaplacena. Vaše aplikace bude vypublikována v blízké době. Budeme Vás o tom informovat"
"Your subscription must have at least one price";"Vaše předplatné musí mít alespoň jednu cenu"
price;cena
"﻿%s Subscription for %s";"%s Předplatné pro %s"
