"Address";"Dirección:"
"Text";"Texto"
"Discount";"Descuento"
"Newswall";"Muro de Noticias"
"Discount";"Descuento"
"Loyalty Card";"Tarjeta de fidelidad"
"Catalog";"catálogo"
"Catalog";"catálogo"
"Set Meal";"Menú de comidas"
"Custom Page";"Página personalizada"
"Custom Page";"Página personalizada"
"RSS Feed";"RSS Feed"
"Images";"Imágenes"
"Video";"Vídeo"
"Videos";"Vídeos"
"Contact";"Contacto"
"Contest";"Concurso"
"Booking";"Reservas"
"Calendar";"Calendario"
"Push Notifications";"Notificaciones Push"
"Link";"Link"
"Links";"Links"
"Form";"Formulario"
"Loyalty Card";"Tarjeta de fidelidad"
"Push Notifications";"Notificaciones Push"
"Push Notifications";"Notificaciones Push"
"Email";"Email"
"password";"contraseña"
"New";"Nuevo"
"Save";"Guardar"
"Email:";"Email:"
"Password:";"Contraseña:"
"Send";"Enviar"
"Your email address";"Su dirección de correo electrónico"
"Title";"Título"
"Description";"Descripción"
"Icons";"Iconos"
"picture";"imagen"
"Recommanded size:";"Tamaño recomendado:"
"Loading";"Cargando"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Haga clic en</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>para agregar un elemento .</span>"
"logo";"logo"
"Edit my";"Cambiar mi"
"Choose a";"Elegir un"
"Page name:";"Nombre de la página :"
"Manage icons";"Gestionar iconos"
"Library icons";"Iconos de la biblioteca"
"Add a new icon";"Añadir un nuevo icono"
"Activated";"Activado"
"Deactivated";"Desactivado"
"Main";"Principal"
"Last name:";"Segundo apellido:"
"Push";"Push"
"Settings";"Configuración"
"Domain";"Dominio"
"Api Keys";"Claves Api"
"Module";"Módulo"
"Application";"Aplicación"
"Features";"Funciones"
"icon";"icono"
"Application name";"Nombre de la aplicación"
"Your CNAME is properly set";"Su CNAME está configurado correctamente"
"Checking CNAME configuration:";"Comprobación de la configuración del CNAME :"
"Manage";"Creado ya"
"Add";"Añadir"
"All";"Todo"
"Editing";"Editar"
"en";"es"
"Delete";"Eliminar"
"Cancel";"Cancelar"
"Address:";"Dirección:"
"Resize your picture:";"Cambiar el tamaño de la imagen :"
"Last Name";"Primer apellido:"
"Phone";"Teléfono:"
"Zip code";"Código Postal:"
"City";"Ciudad:"
"Country";"País:"
"Insert a <br /><span class=""bold"">cover image</span>";"Insertar una <br /><span class=""bold"">imagen de fondo</span>"
"MM/dd/y 'at' hh:mm a";"dd/MM/y a hh'h'mm"
"Browse";"Explorar"
"Folders";"Carpetas"
"Subtitle";"Subtítulo"
"Unknown error";"Error desconocido"
"Password";"contraseña"
"Conditions";"Condiciones"
"Picture%s";"Imagen %s"
"Username";"Nombre de usuario"
"Search";"Buscar"
"My pictures";"Mis imágenes"
"Type";"Tipo"
"Never";"Nunca"
"MM,d yy";"d MM yy"
"Creation date";"Fecha de creación"
"Locate";"Localizar"
"Are you sure you want to delete this picture?";"¿Está seguro que desea eliminar esta imagen?"
"Use this discount";"Utilizar este cupón de descuento"
"MM/dd/y";"dd/MM/y"
"Comment";"Comentar"
"Please fill in the following fields:";"Por favor rellene los siguientes campos :"
"More";"Más información"
"Show...";"Mostrar…"
"Hide...";"Ocultar…"
"Validate";"Validar"
"This section is unlocked for mobile users only";"Esta sección solo está disponible para usuarios móviles."
"Gender";"Género"
"Miss";"Señorita"
"Mrs";"Sra."
"Mr";"Sr."
"First name";"Nombre:"
"MM/dd/y hh:mm a";"dd/MM/y hh:mm"
"Please enter the password";"Por favor Ingrese la contraseña."
"Please show your phone to the store person so that he enters his password";"Por favor muestre su teléfono al vendedor para que ingrese su contraseña"
"MMMM dd y";"dd MMMM y"
"MMMM dd y 'at' hh:mm";"d MMMM yyyy à HH'h'mm"
"An error occurred the during process. Please try again later.";"Se ha producido un error durante el proceso . Por favor inténtelo de nuevo más tarde ."
"Please enter your email address";"Ingrese su dirección de correo electrónico"
"Your email address does not exist";"Su dirección de correo electrónico no existe"
"Your password does not match the entered password.";"Su contraseña no coincide."
"The old password does not match the entered password.";"No coincide con la anterior contraseña."
"Authentication failed. Please check your email and/or your password";"Error de identificación . Por favor compruebe su correo electrónico y/o contraseña"
"%s – Your new password";"%s - Su nueva contraseña"
"Your new password has been sent to the entered email address";"Su nueva contraseña ha sido enviada a la dirección de correo electrónico que usted proporcionó."
"An error occurred while saving. Please try again later.";"Se ha producido un error al guardar . Por favor inténtelo de nuevo más tarde ."
"The password must be at least 6 characters";"La contraseña debe tener como mínimo 6 caracteres"
"Infos successfully saved";"Información guardada correctamente"
"An error occurred while saving";"Se ha producido un error al guardar"
