"Action";"Azione"
"App Name";"Nome App"
"Client";"Cliente"
"Date";"Data"
"Invoice";"Fattura"
"Invoice %s";"Fattura %s"
"Invoice N°";"Fattura N°"
"List of your invoices";"Lista delle tue fatture"
"My Invoices";"Le mie fatture"
"Order";"Ordine"
"Orders";"Ordini"
"Paid At";"Paga"
"Paid at:";"Paga:"
"Price Excl. Tax";"Prezzo IVA esclusa"
"Qty";"Quantità"
"This feature is not ready yet. Please try again later.";"Questa funzione non è ancora disponibile. Riprova più tardi"
"Total Excl. Tax";"Totale IVA esclusa"
"You don't have any invoices yet";"Non hai ancora nessuna fattura."
