"%s Update";"%s Update"
"All of your modules are up to date";"Všechny vaše moduly jsou aktuální"
"Click here to send your module";"Klikněte zde pro upload modulu"
"Drop your module here";"Vložit modul"
Host;Host
Installing;Instalace
"Installing module <em><span id=""label_module""></span></em>";"Instalace modulu <em> <span id =""label_module""> </span> </em>"
"Installing your module";"Instalace modulu"
"Module successfully installed";"Modul úspěšně nainstalován"
"Module to upload";"Moduly k nahrání"
"Modules Installation";"Instalace modulů"
"Modules successfully installed!";"Moduly úspěšně nainstalován!"
"No directory provided";"No directory provided"
"No module to install";"Žádný modul k instalaci"
"No modules uploaded yet";"Žádné modyly zatím nebyly nahrány"
"Or set the correct permissions to the following files and folders and try again:";"Nebo změňte práva u následujících souboru a složek  a zkuste znovu"
"Package Details";"Package - detail"
"Path to your system";"Cesta k systemu"
"Please update the module to the %s version before installing this update.";"Před instalací tohoto updatu prosím updatujte modul na verzi %s"
"Please update your system to the %s version before installing this update.";"Před instalací tohoto updatu prosím updatujte Váš systém na verzi %s"
"Please wait, we're installing your module";"Čekejte prosím, modul se instaluje"
"Please, enter a name";"Prosím, zadejte název"
"Please, fill out all fields";"Prosíme, vyplňte všechna pole"
Port;Port
"Processing the installation";"Zpracování instalace"
Retry;Opakovat
"Select a module to upload";"Vyberte modul"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Do některých složek a souboru nelze zapisovat"
"Some files don't have the right permissions and can't be updated";"Některé soubory nemají správná práva a nelze je updatovat"
"The database connection failed. Please, check the entered information.";"Připojení k databázi se nezdařilo. Prosím, zkontrolujte zadané údaje."
"The entered password confirmation does not match the entered password.";"Heslo k potvrzení se neshoduje s původním"
"The file %s does not exist";"Soubor %s neexistuje"
"The file %s is not writable.";"Do souboru %s nelze zapisovat"
"The folder %s is not writable. Please fix this issue and try again.";"Do složky %s nelze zapisovat. Opravte tento problém a zkuste znovu"
"The following files and folders are not writable:";"Do těchto souborů a adresářů nelze zapisovat"
"The following files and folders are not writable: <br /> - %s";"Do následujících souborů a složek nelze zapisovat: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Instalace modulu <span id=""installation_failed_module_name""></span> se nezdařila: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Nahraný package je poškozený"
"This process may take few minutes, please do not refresh the page";"Tento proces může chvíli trvat, prosím NEAKTUALIZUJTE stránku"
"This update is designed for the %s, you can't install it in your %s.";"Tento update je navrhnut pro %s, nelze nainstalovat na Váš %s"
"Unable to connect to your FTP. Please check the connection information.";"Nelze se připojit k FTP. Zkontrolujte spojení"
"Unable to detect your site. Please make sure the entered path is correct.";"Stránku nelze smazat. Zkontrolujte, zda je cesta v pořádku"
"Unable to extract the archive.";"Archiv nelze rozbalit"
"Unable to open the archive.";"Archiv nelze otevřít"
"Unable to open the file. Please, make sure that you sent a valid archive.";"Soubor nelze otevřít. Ujistěte se,že byl platný"
"Upload a module";"Nahrát modul"
"Upload your modules";"Nahrát modul"
Username;"Uživatelské jméno"
"You already have installed this update.";"Tento update je již nainstalován"
"You can either fix this issue by setting the correct permissions to them and try again or enter your FTP access below:";"Můžete tento problém vyřešit správným nastavením oprávnění a zkusit znovu, nebo zadejte váš přístup FTP:"
"﻿%s Update";"%s Update"
