"Add a page";"Přidat stránku"
"Click on";"Klikněte na"
"Click on a page to add it to the folder";"Vyberte stránku/modul, kterou chcete přidat do složky"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Vyberte stránku/modul, kterou chcete přidat do složky <span id = ""folder_name"" class = ""folder_name""> ""%s"" </ span>"
"Close mobile display";"Zavřít zobrazení v mobilu"
"Delete this folder and all its subfolders?";"Odstranit tuto složku a všechny její podsložky?"
"Folder title is required";"Název složky je nutné vyplnit"
Folders;Složky
"Mobile display";"Zobrazení v mobilu"
"New folder";"Nová složka"
Subtitle;Popis
"You cannot add this feature";"Tato funkce nelze přidat"
"You must first complete the current category creation process";"Nejdříve musíte dokončit právě vytvářenou složku"
"You will lose all unsaved changes, continue?";"Chcete pokračovat? Ztratíte všechny neuložené změny"
"to add a folder.";"k přidání další složky"
"﻿Add a page";"Přidat stránku"
