"An error occurred while saving your contact informations.";"S'ha produït un error en guardar les seves informacions de contacte."
"An error occurred while sending your request. Please try again later.";"S'ha produït un error en enviar la seva sol·licitud. Intenta-ho de nou més tard."
"And his phone number:";"I el seu número de telèfon:"
"Are you sure you want to remove the picture?";"Esteu segur que voleu eliminar la imatge?"
City;Ciutat
"Contact information";"informació del contacte"
"Here is his email:";"Heus aquí el seu correu electrònic:"
"Here is his message:";"Heus aquí el missatge:"
"Please enter properly the following fields: <br />";"Si us plau introduïu correctament els següents camps: <br />"
Twitter;Twitter
Website;"lloc web"
"You have received a message from a contact:";"Ha rebut un missatge d'un contacte:"
"Your email";"El seu correu electrònic"
"Your message has been sent";"El seu missatge ha estat enviat"
"Your request";"la seva petició"
"Zip code";"codi postal"
