" is now yours!";"现在是你的！"
"%d validated points = ";"％d 确认点="
"1 loyalty point =";"1忠诚点="
"1 point";"1点"
"1 validated point = ";"1点=验证"
"An error occurred while saving the password. Please try again later";"有一个错误保存密码。请稍后再试。"
"An error occurred while saving the password. Please try again later.";"有一个错误保存密码。请稍后再试。"
"An error occurred while saving your loyalty card.";"有一个错误保存您的记分卡"
"An error occurred while saving your loyalty card. Please fill all fields in.";"有一个错误保存您的记分卡。请填写所有字段。"
"An error occurred while validating point. Please try again later.";"在验证点时发生错误。请稍后再试。"
"Card name";"卡名称"
"Congratulations";"祝贺"
"Current card";"目前卡"
"Delete this password?";"删除此项？"
"Employee's name:";"员工姓名："
"Employee's name";"员工姓名"
"Employee's password:";"员工密码："
"Employee's password";"员工密码"
"Enter the password";"输入密码"
"My new loyalty card";"我的新计分卡"
"My passwords";"密码"
"Number of points";"点数"
"Please enter a name";"请输入姓名"
"Please enter the password";"请输入密码"
"Please show your phone to the store person so that he enters his password";"请出示您的手机店里的人输入密码"
"Point%s successfully validated";"点％ s成功验证"
"Previous cards";"上述卡"
"Reward";"奖励"
"We are sorry but this card is temporarily blocked";"对不起，此卡被暂时受阻"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"密码不正确。当心！ ％d ％s 锁定您的卡之前已经离开尝试。问的人来验证你的观点商店"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"密码不正确。 <br />当心！ ％D ％S锁定您的卡之前，剩余的尝试。 <br />让这个人来验证他的观点商店"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"您已超过尝试验证点的数量。你的卡已被锁定24小时"
"You just finished your card";"你刚刚完成你的卡"
"You must be logged in to validate points";"你必须登录验证点"
"Your loyalty card has been saved successfully";"你的记分卡已成功保存"
"Your password must be 4 digits";"您的密码必须是4位数"
"point";"点"
"point to validate";"验证点"
"points to validate";"点验证"
