"Add a link";"Добавить ссылку"
"An error occurred while saving your picto. Please try againg later.";"Произошла ошибка в процессе сохранения пиктограммы. Пожалуйста, попробуйте чуть позже."
"Are you sure you want to delete this link?";"Вы уверены, что хотите удалить эту ссылку?"
"Are you sure you want to delete this picture?";"Вы уверены, что хотите удалить эту фотографию?"
"Link";"Ссылка"
"Link has been successfully deleted";"Ссылка была успешно удалена"
"Link has been successfully saved";"Ссылка была успешно сохранена"
"Link:";"Ссылка:"
"Picto";"Пиктограмма"
"The image has been successfully deleted";"Изображение было успешно удалено"
"The image has been successfully saved";"Изображение было успешно сохранены"
"Your links";"Ваши ссылки"
