"%s - Account creation";"%s - Создание учетной записи"
"%s - Your new password";"%s  - Твой новый пароль"
"A request to reset your password has been made.";"Запрос для сброса пароля был сделан."
"An error occurred while connecting to your Facebook account. Please try again later";"Произошла ошибка при подключении к вашей учетной записи Facebook. Пожалуйста, повторите попытку позже."
"Are you sure you want to remove this user?";"Вы уверены, что хотите удалить этого пользователя?"
"Change Password";"Изменить Пароль"
"Congratulations,";"Поздравляю,"
"Create";"Создать"
"Create a new user";"Создание нового пользователя"
"Create an account";"Создать аккаунт"
"Customer";"Клиент"
"Customers";"Клиенты"
"Disconnect";"Отключать"
"Edit the user %s";"Редактирование пользователя %s"
"First name";"Имя"
"Forgot your password?";"Забыли пароль?"
"Gender";"Пол"
"Here are your credentials:";"Вот ваши полномочия:"
"I accept the <u>privacy policy</u>";"Я принимаю <u> политику конфиденциальности </u>"
"If you encounter any problems, do not hesitate to contact us:";"Если у вас возникли проблемы, не стесняйтесь обращаться к нам:"
"Last name";"Фамилия"
"Login:";"Логин"
"Miss";"Мисс"
"Mr";"Мистер"
"Mrs";"Миссис"
"My Account";"Мой аккаунт"
"My application's users";"Пользователи моего приложения"
"Old Password";"Старый пароль"
"Or with your account";"Или с вашего счета"
"Please enter your email address. We'll send you your password right now.";"Пожалуйста, введите Ваш адрес электронной почты. Мы вышлем вам пароль сейчас."
"Please log in with your mobile phone";"Пожалуйста, войдите с помощью мобильного телефона"
"Privacy Policy";"Политика Конфиденциальности"
"See you soon,";"Увидимся,"
"Show me in ranking";"Покажите меня в рейтинге"
"The old email address does not match the entered email address.";"Старый адрес электронной почты, не соответствует введенный адрес электронной почты."
"This user can access the pages locked by the ""Locker"" feature";"Этот пользователь может получить доступ к страницам, заблокированных функцией ""блокировки"""
"This user is visible in ranking";"Пользователь виден в рейтинге"
"User";"Пользователь"
"Users";"Пользователи"
"User Information";"Информация о пользователе"
"We are sorry but the %s account is already linked to one of our customers";"Мы сожалеем, но счет %s уже связан с одним из наших клиентов"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Вы создали свой аккаунт. С этой учетной записью, вы сможете насладиться великолепными предложениеми о продаже в нашем приложении."
"Your account has been successfully saved";"Ваша учетная запись была успешно сохранена"
