"An error occurred while saving your discount. Please fill in all fields";"有一个错误保存您的折扣。请填写所有领域"
"Are you sure you want to use this discount?";"你确定要使用这个折扣？"
"Closed discounts";"折扣关闭"
"Delete this discount?";"删除这个折扣？"
"Discount successfully deleted";"折扣正确移除"
"Discount successfully saved";"折扣保存成功"
"Please select an end date greater than the current date.";"请选择日期大于当前的日期的完成。"
"This discount is now used";"这个折扣现在使用"
"Valid until";"有效期至"
"You have already use this discount";"你已经使用这个折扣"
"You must be logged in to use a discount";"你必须注册，才能使用折扣"
"or illimited";"或无限"
"use only once";"仅使用一次"
"you'll be able to remove this promotion later";"您可以稍后删除此促销"
