"Actions";"Azioni"
"An error occurred while deleting your role. Please, try again later.";"Un errore ha impedito di cancellare il ruolo. Riprova più tardi"
"An error occurred while deleting your role. please try again later.";"Si è verificato un errore durante l'eliminazione delruolo. Riprova più tardi"
"Code";"Codice"
"Create a new role";"Crea un ruolo"
"Delete";"Cancella"
"Edit";"Modifica"
"Edit %s role";"Modifica %s ruolo"
"Id";"ID"
"Label";"Etichetta"
"List of your roles";"Lesta dei tuoi ruoli"
"Role";"Ruolo"
"Search";"Cerca"
"This role will be the default one for the whole platform.";"Questo ruolo sarà quello di default per l'intera piattaforma"
"You don't have any role yet";"Non hai ancora nessun ruolo"
"Your role has been deleted successfully.";"Il ruolo è stato cancellato con successo"
"Your role has been saved successfully.";"Il ruolo è stato salvato con successo"
"Your role has been successfully deleted";"Il ruolo è stato eliminato con seuccesso"
"Your role has been successfully saved";"Il tuo ruolo è stato salvato con successo"
