".mp4 or .3gp format";"mp4 или 3gp формат"
"Add ";"Добавить"
"Add sections:";"Добавить разделы:"
"Address:";"Адрес:"
"Alignment:";"Выравнивание:"
"An error occurred while saving your page.";"Произошла ошибка при сохранении вашей страницы."
"Are you sure you want to delete this page?";"Вы уверены, что хотите удалить эту страницу?"
"Display address";"Показать адрес"
"Display location button";"Показать кнопку расположения"
"Label";"Этикетка"
"Label:";"Этикетка:"
"Large";"Большой"
"Loading picture:";"Загрузка изображения:"
"Make a search or enter the Youtube Url:";"Сделайте поиск или введите ссылку на Youtube:"
"Medium";"Способ"
"My Youtube video:";"Моё Youtube видео:"
"My video";"Мое видео"
"No videos matching your selection";"Видео не соответствует выбору"
"Page successfully deleted";"Страница успешно удалена"
"Page successfully saved";"Страница успешно сохранена"
"Podcast URL:";"Ссылка на Подкаст:"
"Select a button type:";"Выберите тип кнопки:"
"Select a video type:";"Выберите тип видео:"
"Small";"Небольшой"
"Video URL:";"Ссылка на видео:"
"Your Podcast:";"Ваш Подкаст:"
