Booking details;Detalhes da Reserva
Booking details:;Detalhes da Reserva:
Booking subject:;Assunto Reserva:
Comment:;Comentário:
Date and time;Data e hora
Date and time:;Data e hora:
Email address:;Endereço de email:
Enter the location name and contact email:;Digite o nome do local e do e-mail:
First name / Last name;Nome / Sobrenome
Here are his personal information:;Aqui estão suas informações pessoais:
Name:;Nome:
Nom du lieu :;Localização:
People number:;Número de Pessoas:
Phone number:;Telefone:
Please fill out the following fields: ;Por favor, preencha os campos a seguir:
Please fill out the following fields:<br />;Por favor, preencha os campos a seguir:<br />
Please, choose a store;Por favor, escolha 1 de nossas lojas.
Thank you for your request. We'll answer you as soon as possible.;Obrigado pelo seu pedido. Nós vamos responder-lhe logo que possível.
The booking information;Informações da Reserva
The booking informations;Informações da Reserva
The date and time of the booking;A data e hora da reserva
The number of people;O número de pessoas
You have received a message for the booking of;Você recebeu mensagem de Reserva
Your phone number or email address;O seu número de telefone ou endereço de e-mail
