Additionnal Information;Informações adicionais
And a radius (in Km):;E um raio (emKm):
Android;Android
Creation date;Data de criação
Enter a location:;Digite um local:
GCM Key;GCM Key
I want to send it;Eu quero enviar
Keys successfully saved;Chaves salvas com sucesso
Message;Mensagem
Message:;Mensagem:
Pending;Pendente
Push Notifications;Notificações Push
Push Notifications Settings;Configurações de Notificação Push
Radius;Raio
Send to a specific location;Enviar para um local específico
Send to all my users;Enviar para todos os usuários
Sender ID;Enviar ID
Sending date;Enviando data
The duration limit must be higher than the sent date;O limite de duração deve ser maior do que a data de envio
Your app must be published to send a push notification.;Seu aplicativo deve ser publicado para enviar uma notificação de envio.
Your message has been saved successfully and will be sent at the entered date;Sua mensagem foi salva com sucesso e será enviado na data que você digitou.
Your message has been saved successfully and will be sent in a few minutes;Sua mensagem foi salva com sucesso e será enviada em poucos minutos
and users entering the area;e os usuários que entrarem na área
for a limited period;por um período limitado
now;agora
on a specific date;em uma data específica
