"%s by %s";"%s από %s"
"+ Add a track";"+ Προσθήκη τραγουδιού"
"Add albums and tracks to the playlist:";"Προσθήκη album και τραγουδιών στην playlist:"
Album;Album
Albums;Albums
Albums:;Albums:
"An error occurred while deleting you images gallery. Please try again later.";"Υπήρξε σφάλμα κατά την διαγραφή της gallery φωτογραφιών σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while deleting your album. Thanks for trying later.";"Υπήρξε σφάλμα κατά την διαγραφή των albums σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while deleting your playlist. Thanks for trying later.";"Υπήρξε σφάλμα κατά την διαγραφή της playlist σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while deleting your track. Thanks for trying later.";"Υπήρξε σφάλμα κατά την διαγραφή του τραγουδιού σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while loading pictures. Please try later.";"Υπήρξε σφάλμα κατά το ανέβασμα των εικόνων σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while loading videos. Please try later.";"Υπήρξε σφάλμα κατά το ανέβασμα των videos σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving your images gallery. Please try again later.";"Υπήρξε σφάλμα κατά την αποθήκευση της gallery φωτογραφιών σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving your playlist. Thanks for trying later.";"Υπήρξε σφάλμα κατά την αποθήκευση της playlist σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving your videos gallery. Please try again later.";"Υπήρξε σφάλμα κατά την αποθήκευση της video gallery σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"Are you sure you don't want to create an album for these tracks?";"Είστε σίγουροι ότι θέλετε να δημιουργήσετε ένα album για αυτά τα τραγούδια?"
"Are you sure you don't want to create an album for this track?";"Είστε σίγουροι ότι θέλετε να δημιουργήσετε ένα album για αυτό το τραγούδι?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το album? (Δεν θα διαγραφούν τα τραγουδία που περιλαμβάνονται σε αυτό)"
"Are you sure you want to delete this album?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το album?"
"Are you sure you want to delete this playlist?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το playlist?"
"Are you sure you want to delete this track?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το τραγούδι?"
Artist;Καλλιτέχνης
Artist:;Καλλιτέχνης:
Audio;Ήχος
Channel;Κανάλι
"Choose an album";"Επιλογή album"
Custom;Προσωποποιημένο
"Delete this gallery?";"Διαγραφή της gallery?"
"Feed URL";"RSS URL"
"Feed URL <span class=""required-entry"">*</span> :";"RSS URL <span class=""required-entry"">*</span> :"
"Gallery Name";"Όνομα gallery"
"Gallery Name <span class=""required-entry"">*</span> :";"Όνομα gallery <span class=""required-entry"">*</span> :"
Group;Ομάδα
"I'm listening to";Ακούω
"Images gallery has been saved successfully";"Η gallery φωτογραφιών αποθηκεύτηκε επιτυχώς"
Instagram;Instagram
"Last update:";"Τελευταία ενημέρωση:"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Μέγιστο μέγεθος: 2000x2000 px - Επιτρεπόμενοι τύποι αρχείων: .jpg και .png"
"My pictures";"Οι εικόνες μου"
"No album found";"Δεν βρέθηκε album"
"No artist found";"Δεν βρέθηκε καλλιτέχνης"
"No track found";"Δεν βρέθηκε τραγούδι"
PLAYER;Player
Parameter;Παράμετρος
"Parameter/Feed Url";"Παράμετρος/RSS URL"
Picasa;Picasa
Picture%s;eikona%s
Playlist;Playlist
"Playlist successfully saved.";"Η playlist αποθηκεύτηκε επιτυχώς."
"Playlist title:";"Τίτλος playlist:"
Playlists;Playlists
Podcast;Podcast
"Podcast URL (iTunes format)";"Podcast URL (iTunes)"
"Read all";"Διάβασμα όλων"
"Required field";"Υποχρεωτικό πεδίο"
Search/Url;Αναζήτηση/URL
"The entered name is not a valid Instagram user.";"Το όνομα που συμπληρώσατε, δεν είναι ενός έγκυρου χρήστη του Instagram."
"This element is not an album.";"Αυτό το στοιχείο δεν είναι album."
Track;Τραγούδι
Tracks;Τραγούδια
Type;Τύπος
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"Η video gallery αποθηκεύτηκε επιτυχώς"
Vimeo;Vimeo
buy;αγορά
close;κλείσιμο
empty;άδειο
from;από
hide;απόκρυψη
loop;επανάληψη
music;μουσική
next;επόμενο
on;την
pause;παύση
play;αναπαραγωγή
previous;προηγούμενο
share;μοιραστείτε
shuffle;τυχαία
track;τραγούδι
tracks;τραγούδια
