Analytics;Analítica
"My application in figures";"Mi aplicación en cifras"
"Installed application";"Aplicación instalada"
times;veces
"Global visits";"Total de Visitas"
"Your customers in figures";"Sus clientes en cifras"
"Used points";"Puntos consumidos"
"Average by customer";"Promedio por cliente"
"Percentage of returning customers";"Porcentaje de clientes leales"
"Your best customers";"Sus mejores clientes"
"Choose your colors";"Elija sus colores"
"Choose your icons color";"Elija el color de icono"
"Change your";"Modificar su"
"Use into all of your application's pages";"Utilizar en todas las páginas de la aplicación"
"Choose your template";"Elija su plantilla"
"Change your template";"Cambie su plantilla"
"Choose your homepage image";"Elija la imagen de su página principal"
"Choose your layout";"Elija su presentación"
"Choose your font style";"Elija estilo de fuente"
"Choose a font family";"Seleccione una fuente"
"This option enables you to set the currency used in your app";"Esta opción le permite establecer la moneda utilizada en su app"
"Choose your country";"Seleccione su país"
"Choose a country";"Seleccionar un país"
"You haven't chosen any template yet";"No ha seleccionado una plantilla"
"If you validate, your app's colors and background image will be replaced";"Si usted lo acepta, se reemplazarán la imagen de fondo y los colores de su aplicación"
Design;Diseño
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Esta página se mostrará a los usuarios móviles para que puedan acceder y administrar su cuenta. Se añade automáticamente al utilizar funciones que requieren al usuario haya iniciado sesión."
"Your pages";"Sus páginas"
"Add pages";"Añadir páginas"
"Delete this page?";"¿Desea eliminar esta página?"
"An error occurred while loading";"Se ha producido un error al cargar"
"You must have published your application to access this feature";"Debe publicar la aplicación para acceder a esta función"
Main;Principal
" ""Remove this page from this folder?""";"¿Esta seguro que desea eliminar la pagina de esta carpeta?"
"to add a subfolder.";"Añadir una subcarpeta."
Information;Información
Editor;Editor
Promote;Promocionar
Features;Funciones
Publication;Publicación
Colors;Colores
"Homepage preview";"Vista previa"
"Startup image";"Imagen de inicio"
"Choose an";"Elija una"
"Choose a <br /><span class=""bold"">picture</span>";"Elija una <br /> <span class=""bold""> imagen </span >"
"Dashboard icon";icono
"General information";"Información general"
"Mobile source codes";"Códigos fuente móvil"
"To be able to download source codes, please provide the following information:<br />";"Para poder descargar el código fuente, deberá proporcionar la siguiente información: <br/>"
"Click here to download the source code:";"Clic aquí para descargar el código fuente"
"iPhone Version";"Versión iPhone"
"Android Version";"Versión Android"
Download;Descargar
"My QRCode";"Mi código QR"
"You can download your QRCode by";"Puede descargar el código QR"
"clicking here";"Haga clic aquí"
"Mobile website information";"Información del sitio web móvil"
"Domain name";"Nombre de dominio"
"Buy one, get one!";"¡Compre uno, adquiera uno!"
"More infos";"Más información"
"Discount zone description. Here your clients will be able to see the details of each discount";"Descripción de la zona de descuento. Aquí los clientes podrán ver los detalles de cada descuento."
"Fred W.";"Pablo R."
"Here is our latest creation. What do you think?";"Aquí nuestras últimas creaciones. ¿Qué opina usted ?"
Comment;Comentario
"Marc A.";"Marc A."
"Love it <3";"Me encanta, <3"
"Please log in.";"Por favor, inicie sesión."
"One free coffee";"Un café gratis"
"An error occurred while saving your colors.";"Se ha producido un error al guardar sus colores ."
"An error occurred while changing your layout.";"Se ha producido un error al cambiar su diseño."
"An error occurred while adding the option";"Se ha producido un error al añadir la opción"
"An error occurred while deleting the option";"Se ha producido un error al eliminar la opción"
"An error occurred while saving. The selected icon is not valid.";"Se ha producido un error al guardar. El icono seleccionado no es válido."
"An error occurred while sorting your pages. Please try again later.";"Se ha producido un error al ordenar sus páginas . Por favor inténtelo de nuevo más tarde."
"An error occurred while saving your page name.";"Se ha producido un error al guardar el nombre de la página ."
"An error occurred while deleting your picture";"Se produjo un error al intentar eliminar su imagen"
"Please enter a valid mobile website address.";"Por favor, ingrese una dirección de sitio web móvil válida."
"Your mobile address should not contain special characters";"Su dirección móvil no debe contener caracteres especiales"
"The entered bundle id is incorrect, it should be like: com.siberiancms.app";"El ID del paquete introducido es incorrecto, debe ser de la forma: com.siberiancms.app"
"Please enter a subdomain.";"Por favor ingrese un subdominio."
"An error occurred during the generation of your QRCode. Please try again later.";"Se ha producido un error durante la generación de su Código QR. Por favor inténtelo de nuevo más tarde ."
"Please enter a valid address";"Por favor ingrese una dirección válida."
"At least, 4 pages in your application";"Por lo menos, su aplicación debe contener 4 páginas"
"The  homepage image";"Imagen de la página principal"
"The startup image";"Imagen de inicio"
"The desktop icon";Icono
"The application name";"Nombre de la aplicación"
"Promote your app!";"¡Promocione su app!"
"Your application in few numbers";"Su aplicación en cifras"
"Additional options";"Opciones adicionales"
"Customize your app's style";"Personalice el estilo de su app"
"Customize your app's colors";"Personalice los colores de su app"
"Manage your app's features";"Administre las funciones de su app"
"Publish your app";"Publicar su app"
