"Add a link";"Προσθήκη συνδέσμου"
"An error occurred while saving your picto. Please try againg later.";"Υπήρξε σφάλμα κατά την αποθήκευση της εικόνας σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"Are you sure you want to delete this link?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό τον σύνδεσμο?"
"Are you sure you want to delete this picture?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτή την εικόνα?"
Link;Σύνδεσμος
"Link has been successfully deleted";"Ο σύνδεσμος διεγράφη επιτυχώς"
"Link has been successfully saved";"Ο σύνδεσμος αποθηκεύτηκε επιτυχώς"
Link:;Σύνδεσμος:
Picto;Εικόνα
"The image has been successfully deleted";"Η εικόνα διεγράφη επιτυχώς"
"The image has been successfully saved";"Η εικόνα αποθηκεύτηκε επιτυχώς"
"Your links";"Οι σύνδεσμοί σας"
