 is now yours!;Is nu van u
%d validated points = ;%d goedgekeurde punten =
1 loyalty point =;1 Loyaliteit punt =
1 point;1 punt
1 validated point = ;1 goedgekeurd punt =
An error occurred while saving the password. Please try again later;Er is een fout opgetreden tijdens het opslaan van het wachtwoord. Probeer het later opnieuw.
An error occurred while saving the password. Please try again later.;Er is een fout opgetreden tijdens het opslaan van het wachtwoord. Probeer het later opnieuw.
An error occurred while saving your loyalty card.;Er is een fout opgetreden tijdens het opslaan van uw klantenkaart.
An error occurred while saving your loyalty card. Please fill all fields in.;Er is een fout opgetreden tijdens het opslaan van uw klantenkaart. Vul alle velden in.
An error occurred while validating point. Please try again later.;Er is een fout opgetreden bij het keuren van de punten. Probeer het later opnieuw.
Card name;Kaart naam
Congratulations;Gefeliciteerd
Current card;Huidige kaart
Delete this password?;Verwijder dit wachtwoord
Employee's name:;Naam van werknemer:
Employee's name;Naam van werknemer:
Employee's password:;Wachtwoord werknemer:
Employee's password;Wachtwoord werknemer
Enter the password;Vul het wachtwoord in
My new loyalty card;Mijn nieuwe klantenkaart 
My passwords;Mijn wachtwoorden
Number of points;Aantal punten 
point to validate;punten valideren
points to validate;punten valideren
Please enter a name;Vul een naam in
Please enter the password;Vul het wachtwoord in
Please show your phone to the store person so that he enters his password;laat je telefoon aan de winkel medewerker zien zodat hij zijn wachtwoord kan invullen
Point%s successfully validated;Punten%s met succes gekeurd
Previous cards;Vorige kaarten
Reward;Beloning
We are sorry but this card is temporarily blocked;Sorry uw kaart is tijdelijk geblokkeerd
Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point;Verkeerd wachtwoord. Wees voorzichtig!  %d nog %s resterende pogingen vóór vergrendeling van uw kaart. Vraag aan het winkelpersoneel voor uw punt te valideren
Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point;Verkeerd wachtwoord. <br/> Wees voorzichtig!  %d nog %s resterende pogingen vóór vergrendeling van uw kaart. <br /> Vraag aan het winkelpersoneel voor uw punt te valideren
You have exceeded the number of attempts to validate points. Your card is locked for 24h;U hebt het aantal pogingen om punten te valideren overschreden. Uw kaart is geblokkeerd voor 24 uur
You just finished your card;U heeft uw kaart vol
You must be logged in to validate points;Je moet ingelogd zijn om punten te valideren
Your loyalty card has been saved successfully;Uw klantenkaart is succesvol opgeslagen
Your password must be 4 digits;Uw wachtwoord moet uit 4 cijfers bestaan
point;punt
point to validate;Punt te valideren
points to validate;Punten te valideren
