Lock the entire application?;Vergrendel de gehele applicatie?
Choose the features to lock:;Kies de functies om te vergrendelen:
Restrict Access;Beperk toegang
Allow all the users by default:;Beperkte toegang
the gender;man /vrouw
the first name;de voornaam
the last name;de achternaam
the email address;het e-mailadres
the password;Het wachtwoord
Access restricted to authorized members only;Toegang alleen voor leden
We are sorry but your account does not have enough permissions to access this page;Het spijt ons maar uw account heeft niet genoeg rechten om deze pagina te bekijken
