"%s - Account creation";"%s - Δημιουργία Λογαριασμού"
"%s - Your new password";"%s - Ο νέος σας κωδικός"
"%s – Account creation";"%s – Δημιουργία Λογαριασμού"
"%s – Your new password";"%s – Ο νέος σας κωδικός"
"A request to reset your password has been made.";"Η αίτηση για την επαναφορά του κωδικού πρόσβασής σας έχει γίνει."
"An error occurred while connecting to your Facebook account. Please try again later";"Παρουσιάστηκε σφάλμα κατά τη σύνδεση στο λογαριασμό σας στο Facebook. Παρακαλώ δοκιμάστε ξανά αργότερα"
"Are you sure you want to remove this user?";"Είστε βέβαιοι ότι θέλετε να καταργήσετε αυτόν τον χρήστη?"
"Change Password";"Αλλαγή Κωδικού"
"Congratulations,";"Συγχαρητήρια,"
"Create";"Δημιουργώ"
"Create a new user";"Δημιουργήστε έναν νέο χρήστη"
"Create an account";"Δημιουργήστε έναν λογαριασμό"
"Customer";"Πελάτης"
"Customers";"Πελάτες"
"Disconnect";"Αποσύνδεση"
"Edit the user %s";"Επεξεργαστείτε το χρήστη% s"
"First name";"Όνομα"
"Forgot your password?";"Ξεχάσατε τον κωδικό σας?"
"Gender";"Φύλλο"
"Here are your credentials:";"Εδώ είναι τα διαπιστευτήριά σας:"
"I accept the <u>privacy policy</u>";"Αποδέχομαι την <u> Πολιτική Προστασίας Προσωπικών Δεδομένων </ u>"
"If you encounter any problems, do not hesitate to contact us:";"Αν αντιμετωπίσετε κάποιο πρόβλημα, μην διστάσετε να επικοινωνήσετε μαζί μας:"
"Last name";"Επώνυμο"
"Login:";"Σύνδεση :"
"Miss";"Δεσποινίς"
"Mr";"Κύριος"
"Mrs";"Κυρία"
"My Account";"Ο Λογαριασμός μου"
"My application's users";"Οι χρήστες των εφαρμογών μου"
"Old Password";"Παλιός Κωδικός"
"Or with your account";"Ή με το λογαριασμό σας"
"Please enter your email address. We'll send you your password right now.";"Παρακαλώ εισάγετε τη διεύθυνση email σας. Θα σας στείλουμε τον κωδικό πρόσβασής σας τώρα."
"Please log in with your mobile phone";"Παρακαλώ συνδεθείτε με το κινητό σας τηλέφωνο"
"Privacy Policy";"Πολιτική Προστασίας Προσωπικών Δεδομένων"
"See you soon,";"Θα σε δώ σύντομα,"
"Show me in ranking";"Δείξε μου την κατάταξη"
"The old email address does not match the entered email address.";"Η παλιά διεύθυνση ηλεκτρονικού ταχυδρομείου δεν ταιριάζει με την καταχωρημένη διεύθυνση ηλεκτρονικού ταχυδρομείου."
"This user can access the pages locked by the ""Locker"" feature";"Αυτός ο χρήστης μπορεί να έχει πρόσβαση στις κλειδωμένες σελίδες από το χαρακτηριστικό ""Locker"""
"This user is visible in ranking";"Αυτός ο χρήστης είναι ορατός στην κατάταξη"
"User";"Χρήστης"
"User Information";"Πληροφορίες Χρήστη"
"Users";"Χρήστες"
"We are sorry but the %s account is already linked to one of our customers";"Λυπούμαστε, αλλά ο λογαριασμός % s είναι ήδη συνδεδεμένος με έναν από τους πελάτες μας"
"You have created your account. With this account, you will be able to enjoy great offers available in our application.";"Έχετε δημιουργήσει το λογαριασμό σας. Με αυτόν τον λογαριασμό, θα είστε σε θέση να απολαύσετε τις υπέροχες προσφορές που είναι διαθέσιμες στην εφαρμογή μας."
"Your account has been successfully saved";"Ο λογαριασμός σας έχει αποθηκευτεί επιτυχώς"
