"%d Unread Message";"%d Nepřečtená zpráva"
"%d Unread Messages";"%d Nepřečtené zprávy"
"Account";"Účet"
"Change the password";"Změnit heslo"
"Click to mark as not read";"Kliknutím označte jako nepřečtené"
"Click to mark as read";"Kliknutím označte jako přečtené"
"Create a user";"Vytvořit uživatele"
"Edit the account ""%s""";"Upravit účet ""%s"""
"Edit the user";"Upravit uživatele"
"Enter your credentials:";"Zadejte své přihlašovací údaje:"
"List of backoffice accounts";"Seznam účtů pro backoffice"
"List of the messages";"Seznam zpráv"
"Login to your backoffice interface";"Přihlaste se do svého backoffice rozhraní"
"People who are allowed to access the backoffice";"Lidé, kteří mají povolen přístup do backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Tento účet nemůže být smazán"
"User successfully deleted";"Uživatel úspěšně smazán"
"View Details";"Zobrazit podrobnosti"
"Your new password";"Vaše nové heslo"
"Your password";"Vaše heslo"
"﻿%d Unread Message";"%d Nepřečtená zpráva"
