"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Типы файлов:</b> %s<br /><b>Рекомендуемый размер:</b> %s"
"Click here to send your favicon";"Нажмите здесь, чтобы загрузить favicon сайта"
"Click here to send your logo";"Нажмите здесь, чтобы загрузить ваш логотип"
"Communications";"Связи"
"Current favicon";"Текущий Favicon"
"Current logo";"Текущий логотип"
"Display a link to your clients to your support platform";"Отображать ссылку вашим клиентам на платформу поддержки."
"Drop your favicon here";"Оставьте свой значок сайта здесь"
"Drop your logo here";"Оставьте ваш логотип здесь"
"Sales";"Продажа"
"Sales Email Address";"E-mail адрес продаж"
"Sender's email address of the emails sent by the site to your clients";"Адрес электронной почты отправителя из письма, отправленные на сайт вашим клиентам"
"Sender's name of the emails sent by the site to your clients";"Имя отправителя из письма, отправленные на сайт вашим клиентам"
"Support Email Address";"E-mail адрес поддержки"
"The folder /images/default is not writable.";"Папки / изображения / по умолчанию не доступен для записи."
"Your Location";"Ваше местонахождение"
"Your Platform";"Ваша Платформа"
"Your company";"Ваша компания"
