"%d Unread Messages";"%d μη-αναγνωσμένα μηνύματα"
"%s ago";"πριν %s"
"404, page not found";"404, δεν βρέθηκε"
"APIs";"APIs"
"Access restricted to authorized members only";"Η πρόσβαση είναι περιορισμένη μόνο σε μέλη."
"Accounts";"Λογαριασμοί"
"Action";"Ενέργεια"
"Actions";"Ενέργειες"
"Add";"Προσθήκη"
"Add a";"Προσθέστε ένα"
"Add an <br /><span class=""bold"">image</span>";"Προσθέστε μία <br /><span class=""bold"">εικόνα</span>"
"Add image";"Προσθήκη εικόνας"
"Add<br /><span class=""bold"">Pictures</span>";"Προσθήκη <br /><span class=""bold"">εικόνων</span>"
"Address";"Διεύθυνση"
"All items";"Όλες"
"An error occurred during process. Please try again later.";"Υπήρξε σφάλμα κατά την επεξεργασία. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred during the process. Please try again later.";"Υπήρξε σφάλμα κατά την επεξεργασία. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while loading places.";"Υπήρξε σφάλμα κατά την φόρτωση τοποθεσιών."
"An error occurred while loading. Please try again later.";"Υπήρξε σφάλμα κατά την φόρτωση. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while loading. Please, try again later.";"Υπήρξε σφάλμα κατά την φόρτωση. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving";"Υπήρξε σφάλμα κατά την αποθήκευση."
"An error occurred while saving your account. Please try again later.";"Υπήρξε σφάλμα κατά την αποθήκευση του λογαριασμού σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving your picture. Please try againg later.";"Υπήρξε σφάλμα κατά την αποθήκευση της εικόνας σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving. Please try again later.";"Υπήρξε σφάλμα κατά την αποθήκευση. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving. Please, try again later.";"Υπήρξε σφάλμα κατά την αποθήκευση. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while uploading your file. Please, try again later.";"Υπήρξε σφάλμα κατά το ανέβασμα του αρχείου. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An unexpected error occurred while calculating the route.";"Υπήρξε σφάλμα κατά τον υπολογισμό της διαδρομής."
"Appearance";"Εμφάνιση"
"Application";"Εφαρμογή"
"Application Name";"Όνομα εφαρμογής"
"Applications";"Εφαρμογές"
"Are you sure you want to delete this element?";"Είστε σίγουροι πως θέλετε να διαγράψετε αυτό το στοιχείο?"
"Are you sure you want to remove this account?";"Είστε σίγουροι πως θέλετε να διαγράψετε αυτόν τον λογαριασμό?"
"Are you sure you want to use this discount?";"Είστε σίγουροι πως θέλετε να χρησιμοποιήσετε αυτή την έκπτωση?"
"Audio";"Ήχος"
"Authentication failed. Please check your email and/or your password";"Η ταυτοποίηση απέτυχε. Παρακαλούμε ελέγξτε το E-mail και/ή τον κωδικό σας"
"Back";"Πίσω"
"Background";"Φόντο"
"Booking";"Κράτηση"
"Browse";"Αναζήτηση"
"Calendar";"Ημερολόγιο"
"Can only be used once";"Μπορεί να χρησιμοποιηθεί μόνο μία φορά"
"Cancel";"Ακύρωση"
"Cart";"Καλάθι"
"Catalog";"Κατάλογος"
"Category";"Κατηγορία"
"Change password";"Αλλαγή κωδικού"
"City";"Πόλη"
"City:";"Πόλη:"
"Close";"Κλείσιμο"
"Comment";"Σχόλιο"
"Comments";"Σχόλια"
"Commerce";"Κατάστημα"
"Communication";"Επικοινωνία"
