"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</ strong>deve essere un valore numerico<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</ strong>deve essere una data valida (ad esempio gg/mm/aaaa)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</ strong>deve essere una data valida<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</ strong>deve essere un indirizzo email valido<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</ strong>deve essere compilato<br />"
"Add a field";"Aggiungi un campo"
"Add a section";"Aggiungi una sezione"
"Add an option";"Aggiungi un opzione"
"An error occurred while saving. A field can't be identified.";"Si è verificato un errore durante il salvataggio. Un campo non può essere identificato."
"Are you sure you want to remove this field?";"Sei sicuro di voler rimuovere questo campo?"
"Are you sure you want to remove this section?";"Sei sicuro di voler rimuovere questa sezione?"
"Checkbox";"Checkbox"
"Choose a field type:";"Scegli il tipo di campo:"
"Create a new field";"Crea un nuovo campo"
"Date/Hour";"Data/ora"
"Drop down";"Tendina"
"Edit field %s";"Modifica campo %s"
"Field name";"Nome del campo"
"Field name:";"Nome del campo:"
"Geolocation";"Geolocalizzazione"
"Hello,";"Ciao,"
"Manage fields";"Gestisci campi"
"Manage options:";"Gestisci opzioni:"
"Multiline text";"Testo multilinea"
"Option";"Opzioni"
"Radio";"Radiobutton"
"Recipient email";"Destinatario mail"
"Recipient email:";"Email destinatario"
"The form has been sent successfully";"Il Form è stato inviato con successo"
"You have to choose a field type.";"Devi scegliere un tipo di campo."
"Your app's form";"Il form della tua app"
"Your form has been filled out, here are the answers:";"Il modulo è stato compilato, ecco le risposte:"
