"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong>, musí být číselná hodnota<br/>"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong>, musí být platné datum (např. dd/mm/rrrr)<br/>"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</strong>, musí být platné datum<br/>"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong>, musí být platná e-mailová adresa<br/>"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> je nutné vyplnit<br/>"
"Add a field";"Přidat pole formuláře"
"Add a section";"Přidat sekci"
"Add an option";"Přidat možnost"
"An error occurred while saving. A field can't be identified.";"Při ukládání došlo k chybě. Pole nelze identifikovat."
"Are you sure you want to remove this field?";"Určitě chcete odstranit toto pole?"
"Are you sure you want to remove this section?";"Určitě chcete odstranit tuto sekci?"
Checkbox;"Checkbox - výběr více možností"
"Choose a field type:";"Vyberte typ pole:"
"Create a new field";"Vytvořit nové pole formuláře"
Date/Hour;"Datum a čas"
"Drop down";"Drop down menu - výběr z rolovacího seznamu"
"Edit field %s";"Upravit pole %s"
"Field name";"Název pole"
"Field name:";"Název pole:"
Geolocation;"Lokalizace aktualní polohy"
Hello,;"Dobrý den,"
"Manage fields";"Struktura formuláře"
"Manage options:";Možnosti:
"Multiline text";"Textové pole - rozšířené"
Option;Volba
Radio;"Radio button - výběr jedné z možností"
"Recipient email:";"E-mail příjemce formuláře:"
"The form has been sent successfully";"Formulář byl úspěšně odeslán"
"You have to choose a field type.";"Můžete si vybrat typ pole"
"Your app's form";"Formulář vaší aplikace"
"Your form has been filled out, here are the answers:";"Vyplněný formulář z Vaší mobilní aplikace.  Zde jsou odpovědi:"
"﻿<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong>, musí být číselná hodnota<br/>"
