"%s - Your new password";"%s - Votre nouveau mot de passe"
"A request to reset your password has been made to log in to your administration panel.";"Votre demande pour réinitialiser votre mot de passe a été réalisé."
"Admin successfully deleted";"Administrateur supprimé avec succès"
"An error occurred while saving your account. Please try again later.";"Une erreur est survenue lors de l'enregistrement de votre compte. Merci de réessayer plus tard."
"An error occurred while saving. The country is not valid.";"Une erreur s'est produite lors de l'enregistrement. Le pays n'est pas valide."
"Are you sure you want to delete this application?";"Etes-vous certain de vouloir supprimer cette application?"
"Can add pages";"Peut ajouter des pages"
"Change my password";"Changer mon mot de passe"
"Confirm new password";"Confirmez votre mot de passe"
"Confirm your password";"Confirmez votre mot de passe"
"Create a new application";"Créez une nouvelle application"
"Create a new user";"Créez un nouvel utilisateur"
"Created At";"Créé à"
"Created at ";"Crée le"
"Created at %s";"Créé à%s"
"Current password";"Mot de passe actuel"
"Dashboard";"Tableau de Bord"
"Details";"Détails"
"Do not hesitate to give us your feedback by sharing your needs:";"N'hésitez pas à nous donner votre feedback en partageant vos besoins:"
"Edit the account ""%s""";"Modifier le compte ""%s"""
"Edit the user %s";"Modifier l'utilisateur %s"
"Enjoy!";"Profitez!"
"Enter your credentials:";"Entrez vos informations:"
"Find some advices here:";"Trouver quelques conseils ici:"
"Forgot your password ?";"Mot de passe oublié?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Mot de passe oublié? Ne vous inquiétez pas! Il suffit d'entrer votre adresse e-mail et nous vous en enverrons un nouveau."
"Here are your credentials, keep them preciously:";"Voici vos informations d'identification, gardez-les précieusement:"
"List of admin accounts";"Liste des comptes admin"
"List of my accounts";"Liste de mes comptes"
"List of your users";"Liste de vos utilisateurs"
"Log in";"S'identifier"
"Log-out";"Se déconnecter"
"Login to your admin interface";"Connexion à votre administration"
"Manage";"Gérer"
"Manage access";"Gérer l'accès"
"Mark as read";"Marquer comme lu"
"Mark as unread";"Marquer comme non lu"
"My Applications";"Mes applications"
"My account";"Mon compte"
"My information";"Mes informations"
"My informations";"Mes informations"
"My invoices";"Mes factures"
"My notifications";"Mes notifications"
"My notifications list";"Ma liste de notifications"
"Need some help?";"Besoin d'aide?"
"Notifications";"Notifications"
"Please enter a valid email address.";"Se il vous plaît entrer une adresse email valide."
"Please, enter an application name";"Merci d'entrer un nom d'application"
"Ready to create your own apps?";"Prêt à créer vos propres applications?"
"Required fields";"Champs obligatoire"
"Send";"Envoyer"
"Sign up";"Créer un compte"
"Thanks for choosing us!";"Merci de nous avoir choisi!"
"The Support Team";"L'équipe Support"
"The password and the confirm does not match.";"Le mot de passe et la confirmation ne correspondent pas."
"The password and the confirmation does not match.";"Le mot de passe et la confirmation ne correspondent pas."
"The password must be at least 6 characters.";"Le mot de passe doit comporter au moins 6 caractères."
"We are sorry but this email address is already used.";"Nous sommes désolés, mais cette adresse e-mail est déjà utilisée."
"Welcome!";"Bienvenue!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Vous allez adorer! Vous allez être en mesure de créer de superbes applications mobiles à votre nom, en quelques minutes."
"You can't delete the main account";"Vous ne pouvez pas supprimer le compte principal"
"You don't have any users yet";"Vous n'avez pas encore d'utilisateurs"
"Your account has been successfully saved";"Votre compte a bien été enregistré"
"Your credentials";"vos informations d'identification"
"Your email address";"Votre adresse mail"
"Your login:";"Votre identifiant:"
"Your password";"Votre mot de passe"
"Your password:";"Votre mot de passe:"
