"%s - Your new password";"%s - Vaše nové heslo"
"A request to reset your password has been made to log in to your administration panel.";"Žádost o resetování hesla pro přihlášení do administračního panelu byla provedena."
"Admin successfully deleted";"Správce úspěšně smazán"
"An error occurred while saving. The country is not valid.";"Při ukládání došlo k chybě. Země není platná."
"Are you sure you want to delete this application?";"Jste si jisti, že chcete smazat tuto aplikaci?"
"Can add pages";"Uživatel může přidávat stránky"
"Change my password";"Změnit heslo"
"Confirm your password";"Potvrďte heslo"
"Create a new application";"Vytvořit novou aplikaci"
"Create a new user";"Vytvořit nového uživatele"
"Created At";Vytvořeno
"Created at %s";"Vytvořeno %s"
"Do not hesitate to give us your feedback by sharing your needs:";"Neváhejte nám zaslat Váš názor či žádost o radu:"
"Edit the account ""%s""";"Upravit účet ""%s"""
"Edit the user %s";"Upravit uživatele %s"
Enjoy!;"S pozdravem"
"Find some advices here:";"Zde najdete užitečné rady:"
"Here are your credentials, keep them preciously:";"Zde jsou Vaše přihlašovací údaje:"
"List of admin accounts";"Seznam admin účtů"
"List of my accounts";"Seznam mých účtů"
"List of your users";"Seznam uživatelů"
"Log-in As";"Přihlásit jako uživatel"
"Manage access";"Správa přístupu"
"My Applications";"Moje aplikace"
"My information";"Můj účet"
"Need some help?";"Potřebujete pomoc?"
"Please enter a valid email address.";"Zadejte prosím platnou e-mailovou adresu."
"Please, enter an application name";"Prosím, zadejte název aplikace"
"Ready to create your own apps?";"Jste připraveni vytvořit si vlasní mobilní aplikaci?"
"Sign up";"Zaregistrujte se"
"Thanks for choosing us!";"VÁŠ ÚČET BYL VYTVOŘEN! Děkujeme, že jste si vybrali unikátní platformu pro výrobu mobilních aplikací od společnosti apptime.cz!"
"The Support Team";"Tým apptime.cz"
"The password and the confirmation does not match.";"Heslo a potvrzení hesla se neshodují!"
"The password must be at least 6 characters.";"Heslo musí být alespoň 6 znaků"
"We are sorry but this email address is already used.";"Je nám líto, ale tato e-mailová adresa je již používána."
Welcome!;"Vítejte v apptime.cz!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Naše platforma se Vám bude opravdu líbit! Díky velkému množství funkcí/modulů lze vytvořit úžasné mobilní aplikace pro každý druh podnikání.  "
"You can't delete the main account";"Hlavní účet nelze odstranit"
"You don't have any users yet";"Zatím nemáte žádné uživatele"
"Your credentials";"Vaše přihlašovací údaje"
"Your login:";"Váš přihlašovací email:"
"Your password:";"Vaše heslo:"
"﻿%s - Your new password";"%s - Vaše nové heslo"
