%s - Your new password;%s - Sua nova senha
A request to reset your password has been made to log in to your administration panel.;A solicitação para redefinir sua senha e fazer login no seu painel de administração foi realizada.
Admin successfully deleted;Administrador excluído com sucesso
An error occurred while saving. The country is not valid.;Ocorreu um erro ao salvar. O país não é válido.
Are you sure you want to delete this application?;Tem certeza de que deseja excluir este aplicativo?
Can add pages;Pode adicionar páginas
Change my password;Alterar minha senha
Confirm your password;Confirme sua senha
Create a new application;Criar um novo aplicativo
Create a new user;Criar um novo usuário
Created At;Criado em
Created at %s;Criado em %s
Do not hesitate to give us your feedback by sharing your needs:;Não hesite em nos dar o seu feedback compartilhando suas necessidades:
"Edit the account ""%s""";"Edite a conta ""%s"""
Edit the user %s;Edite o usuário %s
Enjoy!;Divirta-se!
Find some advices here:;Encontre algumas dicas aqui:
Here are your credentials, keep them preciously:;Aqui estão as suas credenciais, guarde-as com cuidado:
List of admin accounts;Lista de contas de administrador
List of my accounts;Lista de minhas contas
List of your users;Lista de seus usuários
Log-in As;Logar como
Manage access;Gerenciar o acesso
My Applications;Meus aplicativos
My information;Minhas informações
Need some help?;Precisa de Ajuda?
Please enter a valid email address.;Por favor insira um endereço de e-mail válido.
Please, enter an application name;Por favor, insira um nome de aplicativo
Ready to create your own apps?;Pronto para criar seus próprios aplicativos?
Sign up;Criar conta
Thanks for choosing us!;Obrigado por nos escolher!
The Support Team;A Equipe de Suporte
The password and the confirmation does not match.;A senha de confirmação não corresponde com a senha.
The password must be at least 6 characters.;A senha de possuir pelo menos 6 caracteres.
We are sorry but this email address is already used.;Lamentamos, mas este endereço de e-mail já está sendo usado.
Welcome!;Seja Bem Vindo!
You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.;Você vai adorar! Graças aos nossos recursos, você será capaz de criar excelentes aplicativos com personalização de marca, em poucos minutos.
You can't delete the main account;Você não pode excluir a conta principal
You don't have any users yet;Você não tem nenhum usuário ainda
Your credentials;Suas credenciais
Your login:;Seu login:
Your password:;Sua senha
API Keys;Chaves API
Api Keys;Chaves API
Api Keys successfully saved;Chaves API salvas com sucesso
1. Download the app previewer:;1. Download do app previewer:
2. Open the app and login;2. Open the app and login
<b>File type:</b> %s;<b>Tipo de Arquivo:</b> %s
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Clicar em</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to adicionar um item</span>"
Activated;Ativado
Add a new icon;Adicionar um novo ícone
Add pages;Adicionar páginas
Additional options;Opções Adicionais
An error occured while copying your app icon. Please check the icon, try to send it again and try again.;Ocorreu um erro ao copiar o ícone do app. Por favor, verifique o ícone, tente enviá-lo novamente.
An error occurred during the generation of your QRCode. Please try again later.;Ocorreu um erro durante a geração do seu QRCode. Por favor, tente novamente mais tarde.
An error occurred while adding the option;Ocorreu um erro ao adicionar a opção
An error occurred while changing your layout.;Ocorreu um erro ao mudar seu layout.
An error occurred while deleting the option;Ocorreu um erro ao excluir a opção
An error occurred while deleting your picture;Ocorreu um erro durante a exclusão de sua imagem
An error occurred while editing file (%s).;Ocorreu um erro durante a edição de arquivos (%s).
An error occurred while loading;Ocorreu um erro durante o carregamento
An error occurred while saving the application. Please try again later.;Ocorreu um erro ao salvar o aplicativo. Por favor, tente novamente mais tarde.
An error occurred while saving your colors.;Ocorreu um erro ao salvar suas cores.
An error occurred while saving your page name.;Ocorreu um erro ao salvar o nome da página.
An error occurred while saving. The selected icon is not valid.;Ocorreu um erro ao salvar. O ícone selecionado não é válido.
An error occurred while sorting your pages. Please try again later.;Ocorreu um erro ao classificar suas páginas. Por favor, tente novamente mais tarde.
Analytics;Analytics
Android APK Generation;Geração Android APK
Android Version;Versão Android
App Store Icon;Ícone App Store
Apple's Information;Informação Apple's
Application name;Nome Aplicação
Are you sure you want to remove this application?;Tem certeza de que deseja remover este aplicativo?
At least 200 characters in the description;Use pelo menos 200 caracteres na descrição
At least, 4 pages in the application;Use pelo menos quatro páginas do aplicativo
Average by customer;Média por consumidor
Bundle Id;Bundle Id
Buy one, get one!;Compre um, leve dois!
Certificate;Certificado
Change your;Mude o seu
Change your template;Mude o seu template
Change your<br /><span>picture</span>;Mude sua<br /><span>imagem</span>
Checking CNAME configuration:;Verificar configuração CNAME:
Choose your design;Escolha seu design
"Choose a <br /><span class=""bold"">picture</span>";"Escolha uma <br /><span class=""bold"">imagem</span>"
Choose a country;Escolha um país
Choose a font family;Escolha uma família de fontes
Choose your colors;Escolha suas cores
Choose your country;Escolha seu país
Choose your font style;Escolha seu estilo de fonte
Choose your homepage image;Escolha sua imagem de homepage
Choose your icons color;Escolha a cor dos seus ícones
Choose your layout;Escolha seu layoute
Choose your template;Escolha seu template
Click here to download the source code:;Clique aqui para baixar o código-fonte:
Click here to send your certificate;Clique aqui para enviar o seu certificado
Colors;Cores
Dashboard icon;Ícone Painel de Controle
Deactivated;Desativado
Delete this page?;Deletar esta página?
Design;Design
Developer Accounts;Contas de desenvolvedores
Device Information;Informações sobre dispositivo
Discount zone description. Here your clients will be able to see the details of each discount;Descrição zona de desconto. Aqui seus clientes serão capazes de ver os detalhes de cada desconto
Domain;Domínio
Domain name;Nome Domínio
Download;Download
Download our app previewer;Baixe nosso visualizador app
Drop your certificate here;Coloque seu certificado aqui
Edit my;Editar minha
"Edit the application ""%s""";"Edite o aplicativo ""%s"""
Editor;Editor
Extension not allowed, '%s' only;Extensão não permitida, '%s' only
Features;Recursos
Fred W.;Fred W.
General Information;Informações Gerais
General information;Informações Gerais
Global visits;Visitas Globais
Google Play Icon;Ícone Google Play
Google's Information;Informações Google's
Here is our latest creation. What do you think?;Aqui é a nossa mais recente criação. O que você acha?
Homepage preview;Homepage pré-visualização
I don't have a Google developer account and I want to create one;Eu não tenho uma conta de desenvolvedor do Google e eu quero criar uma
I don't have an Apple developer account and I want to create one;Eu não tenho uma conta de desenvolvedor da Apple e eu quero criar uma
I have an Apple developer account;Eu tenho uma conta de desenvolvedor da Apple
I have an Google developer account;Eu tenho uma conta de desenvolvedor Google
I let you publish my application under your Apple developer account;Eu deixo você publicar meu aplicativo em sua conta de desenvolvedor da Apple
I let you publish my application under your Google developer account;Eu deixo você publicar o meu pedido em sua conta de desenvolvedor Google
Icons;Ícones
Id;Id
If you validate, your app's colors and background image will be replaced;Se você validar, a imagem de fundo e as cores do seu aplicativo serão substituídas
Installed application;Aplicativo Instalado
Key Password;Senha Chave
Keywords;Chaves
Last name:;Sobrenome:
Library icons;Biblioteca de Ícones
List of my applications;Lista dos meus aplicativos
List of your applications;Lista de seus aplicativos
Loading;Carregamento
Lock the entire application;Bloquear o aplicativo inteiro
Love it <3;Adoro <3
Main;Principal
Manage icons;Gerenciar Ícones
Media;Mídia
Missing Information;Falta de informação
Mobile Source Codes;Código-fonte Smartphone
Mobile source codes;Código-fonte Smartphone
Mobile website information;Informações do site móvel
My QRCode;Meu QRCode
My application in figures;Meu aplicativo em números
One free coffee;Um café
"Or go on your store<br />and look for ""Apps Company Previewer""";"Ou ir em sua loja<br />e procurar o ""Previewer app Company"""
Page name:;Nome da página:
Percentage of returning customers;Percentual de retorno de clientes
Please enter a correct URL for the %s store;Digite uma URL correta para a %s loja
Please enter a subdomain.;Por favor insira um subdomínio.
Please enter a valid URL;Digite uma URL válida
Please enter a valid address;Por favor insira um endereço válido
Please enter a valid mobile website address.;Por favor insira um endereço de site para celular válido.
Preview;Visualização
Promote;Promover
Publication;Publicação
Publish the application;Publique o aplicativo
Publish under our account;Publicar através de nossa conta
Ready ? Publish my app!;Pronto? Publicar o meu app!
Recommanded size:;Tamanho recomendado:
Remove this page from this folder?;Remover esta página a partir desta pasta?
Scan this QR Code;Leia este QR Code
Scan this QR Code:;Leia este QR Code:
Secondary category;Categoria Secundária
Secondary category<br />(Optional);Categoria secundária<br />(Opcional)
